"ENSBTAG00000015991-ENSBTAG00000024015","ENSBTAG00000021105-ENSBTAG00000005273","ENSBTAG00000001725-ENSBTAG00000001338","ENSBTAG00000020342-ENSBTAG00000035084","ENSBTAG00000014113-ENSBTAG00000001338","ENSBTAG00000020645-ENSBTAG00000020199","ENSBTAG00000004129-ENSBTAG00000001338","ENSBTAG00000001941-ENSBTAG00000011409","ENSBTAG00000001321-ENSBTAG00000005273","ENSBTAG00000025257-ENSBTAG00000001338","ENSBTAG00000001745-ENSBTAG00000019289","ENSBTAG00000005691-ENSBTAG00000010543","ENSBTAG00000010312-ENSBTAG00000020199","ENSBTAG00000025644-ENSBTAG00000004337","ENSBTAG00000003253-ENSBTAG00000011434","ENSBTAG00000021316-ENSBTAG00000015910","ENSBTAG00000005077-ENSBTAG00000001060","ENSBTAG00000007773-ENSBTAG00000010347","ENSBTAG00000008237-ENSBTAG00000005273","ENSBTAG00000011851-ENSBTAG00000007338"
73.6886421162676,65.9590028036769,46.9087418211718,47.2377157720154,32.5493936192093,73.343629257446,30.8962098483735,52.6547302272678,32.2881077671103,30.0848940672378,76.4761702709395,82.8109224826855,39.5721907458547,91.2178609496048,36.310452173973,74.1126256996987,56.485347413717,99.688013827636,68.2754640767924,57.3711443744103
73.4416952281601,65.6742657440863,42.7679169656012,44.5527402322046,32.7359018817408,75.1360453805645,33.2088047128308,55.0964606432161,31.2747257458003,31.3263801207084,78.4623228507842,82.6753893187147,42.5814582683433,89.6914092483182,41.4537139886408,88.8384171508645,62.9762312274106,100.933060227799,66.789536844707,59.0477920361655
73.1560358378416,66.1675732814904,36.775566049477,51.0162051779154,31.7611548353118,72.3090519596271,33.9913204287764,59.5289265907006,31.920690995225,34.7957344124012,72.7964414779079,85.9860973411244,42.1181473931133,89.2613332047463,35.4470002826375,86.5983306721494,62.0709127708321,99.2128884281036,67.7009527160792,52.9474990190396
69.1464693503798,64.0256745447029,43.8976202204196,40.9474411389487,28.7651977029122,77.1346005965505,12.6658510771577,55.8946636356547,30.9789853127941,29.0626565895337,69.6723469896767,79.7498630343513,38.4974067444195,94.3557264934341,35.2030586611787,91.1089648622892,60.124465623419,110.078941917024,70.9235841835524,60.2963930479434
69.7989727462037,64.2410976018221,49.6328151701821,44.7664712558187,41.6401907321176,73.089037524056,12.6658510771577,56.3025243669798,48.0468850184428,46.7851546784626,70.6633855239305,86.1594076719917,43.2022103090304,93.4846364748702,44.8527286690889,84.6203175536761,57.865571858224,101.76497470075,68.8700818795773,60.4812676941603
77.0860953929535,73.2471904721119,56.5581061002389,56.6554911279079,39.2449677041389,78.9632964141663,37.2517157113532,58.3049353469062,35.8558055621448,36.2735081907763,82.522718609337,84.3026353675029,42.6042542380138,96.2864447152472,40.2148337938953,69.8346044594319,59.9414534482474,99.3416344956052,75.8196108071826,66.9769176781422
76.8277628897759,72.9309911854069,51.565492731569,53.435212471578,39.4698416549484,80.8930493737659,40.0400229784607,61.0086797858572,34.7304491622484,37.7703741737063,84.6659053024082,84.1646607796117,45.8440950500045,94.6751746655404,45.9111390352719,83.7103754449473,66.8294877398099,100.582354815592,74.1694949720446,68.9342900408716
76.5289330242826,73.4788070955582,44.340485073166,61.1872973237461,38.2945842352761,77.8494486995367,40.9835061154904,65.9167790084721,35.4477908086011,41.9533921040724,78.552053987008,87.5350061743249,45.3452848010014,94.2212011480555,39.2585368540303,81.5995940265442,65.8687765712412,98.8681599827964,75.1816183985981,61.8126119276697
72.3345033827486,71.1002377103839,52.9275816315737,49.1111255115472,34.6823436424246,83.0447360235503,15.2712803895412,61.8925353040029,34.4020306764325,35.0409913191015,75.1809546047047,81.1864355864278,41.4471191392224,99.5986679362755,38.9883647362232,85.8498597748657,63.80323433032,109.696457916111,78.7603368583361,70.3919469882898
73.0170907879466,71.339464093837,59.8425350470972,53.6915550130033,50.2057875361378,78.6891975904265,15.2712803895412,62.3441622227585,53.355860291165,56.4090964602742,76.2503490814875,87.7114384273478,46.5124097746061,98.6791751961334,49.6756421536111,79.7357582436391,61.4061281484416,101.411378690483,76.479931333682,70.6077755915967
87.2480539135811,63.8143320804058,14.6149842406104,93.3909820123262,13.8761752370022,96.2244255157786,10.8128518319739,52.835111504489,34.2481739431761,14.1173588737479,97.582697280785,73.3406591072032,52.8952775808976,78.8447000249521,29.4527996016559,62.7760075804915,70.8155278641722,92.9156024966321,67.9485466203675,56.9074836988785
84.7105834855069,63.4309524072368,15.8285045177327,101.914824719277,9.83268888170232,93.8864064844713,4.37992134997167,54.1928376741914,30.8407020006173,10.7733915008834,105.949424178131,73.2991042756263,55.4997618254076,78.3852913947966,37.8614376962255,74.9259507007893,70.201268459531,99.5667577098724,67.8197284574332,53.0323406500608
78.3516392719955,65.8564454571084,14.3488943366159,91.9212374024495,9.94716444932446,95.6003235309077,4.37992134997167,57.4768741476075,30.8085059649562,10.0500273773911,106.81185165166,76.0328733979797,48.861651690989,75.9383965808828,36.1012527622801,75.6186442822935,76.8362900014088,84.235163158858,68.6971283342875,56.048740406249
88.688449044618,64.4688287335151,13.7523481503899,87.3477192950256,9.94716444932446,92.4075575975717,4.37992134997167,54.602578227454,30.8085059649562,10.0500273773911,99.9106476827981,71.0836265083577,55.0369599707941,78.9840798082105,35.9629705967224,64.2152862410842,61.1741921154524,96.6651602776412,65.5931657837374,52.2233614938889
89.6342699335365,63.2153393348849,14.5301807524844,97.6218875829938,8.57901511948906,95.5304515479515,4.37992134997167,54.6181765450982,25.3147934120711,8.88851482333819,107.146046859646,69.7412365077386,51.7268451199102,77.9494227181542,32.1677536098994,71.7835461934239,70.5349490639475,84.0227227737704,67.8996997371689,56.8352165913074
91.6968108384968,60.750579133749,37.9389105764851,83.6588320876018,36.0210427047491,96.9842013580745,28.0689880999083,48.3089371419247,32.6039046949481,36.6471292113348,88.8271810183644,76.6557816645529,53.3129319743854,92.7965477560074,21.3080608888481,61.884703102009,77.7310391118285,95.0440024069197,64.6863082932955,55.7531130643397
89.0299554140553,60.3856056800775,41.0890773175866,91.2944164919698,25.5245916155516,94.6277216254505,11.3697997680272,49.5503522978769,29.3600269147714,27.9665533693664,96.4432111687023,76.6123484838965,55.9379808956915,92.2558451485493,27.3914137427243,73.8621392545366,77.0567940239636,101.847514358735,64.5636747445914,51.9565774507736
