"dataset","feature","mean_shap","sd_shap"
"vitro","ENSBTAG00000005691.ENSBTAG00000026676",0,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000027464",0,NA
"vitro","ENSBTAG00000005710.ENSBTAG00000009851",0,NA
"vitro","ENSBTAG00000005710.ENSBTAG00000011425",0,NA
"vitro","ENSBTAG00000005710.ENSBTAG00000014064",0,NA
"vitro","ENSBTAG00000005850.ENSBTAG00000022799",0,NA
"vitro","ENSBTAG00000005898.ENSBTAG00000017851",0,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000002402",0,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000013125",0,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000013745",0,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000013755",0,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000017060",0,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000018517",0,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000019712",0,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000019929",0,NA
"vitro","ENSBTAG00000006045.ENSBTAG00000011944",0,NA
"vitro","ENSBTAG00000006045.ENSBTAG00000034385",0,NA
"vitro","ENSBTAG00000006276.ENSBTAG00000047138",0,NA
"vitro","ENSBTAG00000006295.ENSBTAG00000002144",0,NA
"vitro","ENSBTAG00000006295.ENSBTAG00000016948",0,NA
"vitro","ENSBTAG00000006295.ENSBTAG00000017489",0,NA
"vitro","ENSBTAG00000006295.ENSBTAG00000017981",0,NA
"vitro","ENSBTAG00000006295.ENSBTAG00000019903",0,NA
"vitro","ENSBTAG00000006295.ENSBTAG00000020704",0,NA
"vitro","ENSBTAG00000006354.ENSBTAG00000012071",0,NA
"vitro","ENSBTAG00000006354.ENSBTAG00000017060",0,NA
"vitro","ENSBTAG00000006354.ENSBTAG00000025101",0,NA
"vitro","ENSBTAG00000006396.ENSBTAG00000003798",0,NA
"vitro","ENSBTAG00000006505.ENSBTAG00000006240",0,NA
"vitro","ENSBTAG00000006538.ENSBTAG00000002144",0,NA
"vitro","ENSBTAG00000006538.ENSBTAG00000016948",0,NA
"vitro","ENSBTAG00000006538.ENSBTAG00000017489",0,NA
"vitro","ENSBTAG00000006538.ENSBTAG00000017981",0,NA
"vitro","ENSBTAG00000006538.ENSBTAG00000019903",0,NA
"vitro","ENSBTAG00000006538.ENSBTAG00000020704",0,NA
"vitro","ENSBTAG00000006655.ENSBTAG00000003255",0,NA
"vitro","ENSBTAG00000006655.ENSBTAG00000008218",0,NA
"vitro","ENSBTAG00000006685.ENSBTAG00000005215",0,NA
"vitro","ENSBTAG00000006685.ENSBTAG00000019404",0,NA
"vitro","ENSBTAG00000006686.ENSBTAG00000015910",0,NA
