"Seed","Gene","Accuracy"
94,"ENSBTAG00000007740-ENSBTAG00000011154",0.875
94,"ENSBTAG00000015978-ENSBTAG00000039292",0.875
94,"ENSBTAG00000017664-ENSBTAG00000011578",0.875
94,"ENSBTAG00000013066-ENSBTAG00000002402",0.875
94,"ENSBTAG00000007319-ENSBTAG00000007909",0.875
94,"ENSBTAG00000020676-ENSBTAG00000011578",0.875
94,"ENSBTAG00000000016-ENSBTAG00000010497",0.875
94,"ENSBTAG00000016542-ENSBTAG00000017266",0.875
94,"ENSBTAG00000038735-ENSBTAG00000016948",0.875
94,"ENSBTAG00000020221-ENSBTAG00000005092",0.875
94,"ENSBTAG00000008237-ENSBTAG00000005273",0.875
94,"ENSBTAG00000034077-ENSBTAG00000023731",0.875
94,"ENSBTAG00000016515-ENSBTAG00000015510",0.875
94,"ENSBTAG00000022120-ENSBTAG00000013745",0.875
94,"ENSBTAG00000007740-ENSBTAG00000026676",0.875
94,"ENSBTAG00000003837-ENSBTAG00000011761",0.875
94,"ENSBTAG00000008237-ENSBTAG00000013205",0.875
94,"ENSBTAG00000005108-ENSBTAG00000001060",0.875
94,"ENSBTAG00000014737-ENSBTAG00000000802",0.875
94,"ENSBTAG00000014113-ENSBTAG00000019428",0.875
94,"ENSBTAG00000020221-ENSBTAG00000005903",0.875
94,"ENSBTAG00000013066-ENSBTAG00000021527",0.875
94,"ENSBTAG00000026779-ENSBTAG00000007103",0.875
94,"ENSBTAG00000002317-ENSBTAG00000011154",0.875
94,"ENSBTAG00000014737-ENSBTAG00000001462",0.875
94,"ENSBTAG00000019993-ENSBTAG00000027516",0.875
94,"ENSBTAG00000010663-ENSBTAG00000013745",0.875
94,"ENSBTAG00000016800-ENSBTAG00000007338",0.875
94,"ENSBTAG00000004226-ENSBTAG00000026278",0.875
94,"ENSBTAG00000010738-ENSBTAG00000003220",0.875
94,"ENSBTAG00000020645-ENSBTAG00000014600",0.875
94,"ENSBTAG00000017664-ENSBTAG00000015910",0.875
94,"ENSBTAG00000021333-ENSBTAG00000017801",0.875
94,"ENSBTAG00000031998-ENSBTAG00000039292",0.875
94,"ENSBTAG00000018103-ENSBTAG00000011154",0.875
94,"ENSBTAG00000010123-ENSBTAG00000014269",0.875
94,"ENSBTAG00000005250-ENSBTAG00000006240",0.875
94,"ENSBTAG00000005850-ENSBTAG00000022799",0.875
94,"ENSBTAG00000009212-ENSBTAG00000012314",0.875
94,"ENSBTAG00000008300-ENSBTAG00000015910",0.875
94,"ENSBTAG00000001292-ENSBTAG00000032719",0.875
94,"ENSBTAG00000001321-ENSBTAG00000005273",0.875
94,"ENSBTAG00000010963-ENSBTAG00000009024",0.875
94,"ENSBTAG00000006295-ENSBTAG00000019903",0.875
94,"ENSBTAG00000025644-ENSBTAG00000011628",0.875
94,"ENSBTAG00000013688-ENSBTAG00000019866",0.875
41,"ENSBTAG00000012817-ENSBTAG00000007909",0.7188
41,"ENSBTAG00000015043-ENSBTAG00000007909",0.7188
41,"ENSBTAG00000006295-ENSBTAG00000016948",0.7188
41,"ENSBTAG00000010161-ENSBTAG00000015133",0.7188
41,"ENSBTAG00000017745-ENSBTAG00000010423",0.7188
41,"ENSBTAG00000017745-ENSBTAG00000016933",0.7188
41,"ENSBTAG00000025775-ENSBTAG00000016948",0.7188
41,"ENSBTAG00000003837-ENSBTAG00000011761",0.7188
41,"ENSBTAG00000012817-ENSBTAG00000022799",0.7188
41,"ENSBTAG00000017473-ENSBTAG00000018169",0.7188
41,"ENSBTAG00000001292-ENSBTAG00000034385",0.7188
41,"ENSBTAG00000014737-ENSBTAG00000011971",0.7188
41,"ENSBTAG00000017746-ENSBTAG00000010462",0.7188
41,"ENSBTAG00000015362-ENSBTAG00000008997",0.7188
41,"ENSBTAG00000005850-ENSBTAG00000022799",0.7188
41,"ENSBTAG00000000310-ENSBTAG00000022799",0.7188
41,"ENSBTAG00000014737-ENSBTAG00000000782",0.7188
41,"ENSBTAG00000017745-ENSBTAG00000015361",0.7188
41,"ENSBTAG00000014556-ENSBTAG00000026676",0.7188
41,"ENSBTAG00000012529-ENSBTAG00000012899",0.7188
41,"ENSBTAG00000003658-ENSBTAG00000018517",0.7188
41,"ENSBTAG00000019665-ENSBTAG00000005273",0.7188
41,"ENSBTAG00000015043-ENSBTAG00000022799",0.7188
41,"ENSBTAG00000019993-ENSBTAG00000027516",0.7188
41,"ENSBTAG00000017745-ENSBTAG00000018474",0.7188
41,"ENSBTAG00000011409-ENSBTAG00000001941",0.7188
41,"ENSBTAG00000038735-ENSBTAG00000016948",0.7188
41,"ENSBTAG00000013155-ENSBTAG00000015910",0.7188
41,"ENSBTAG00000017473-ENSBTAG00000015910",0.7188
41,"ENSBTAG00000014737-ENSBTAG00000015910",0.7188
41,"ENSBTAG00000013688-ENSBTAG00000011971",0.7188
41,"ENSBTAG00000014737-ENSBTAG00000000802",0.7188
41,"ENSBTAG00000017664-ENSBTAG00000015910",0.7188
41,"ENSBTAG00000010303-ENSBTAG00000007626",0.7188
41,"ENSBTAG00000009972-ENSBTAG00000024269",0.7188
41,"ENSBTAG00000010963-ENSBTAG00000009024",0.7188
41,"ENSBTAG00000002317-ENSBTAG00000026676",0.7188
41,"ENSBTAG00000001321-ENSBTAG00000005273",0.7188
41,"ENSBTAG00000015362-ENSBTAG00000018105",0.7188
41,"ENSBTAG00000013155-ENSBTAG00000019289",0.7188
41,"ENSBTAG00000026779-ENSBTAG00000007103",0.7188
41,"ENSBTAG00000007148-ENSBTAG00000034848",0.7188
41,"ENSBTAG00000017664-ENSBTAG00000011154",0.7188
41,"ENSBTAG00000039355-ENSBTAG00000018993",0.7188
41,"ENSBTAG00000004924-ENSBTAG00000031718",0.7188
41,"ENSBTAG00000010738-ENSBTAG00000003220",0.7188
41,"ENSBTAG00000017664-ENSBTAG00000014357",0.7188
41,"ENSBTAG00000001321-ENSBTAG00000013205",0.7188
41,"ENSBTAG00000002317-ENSBTAG00000018052",0.7188
41,"ENSBTAG00000016260-ENSBTAG00000011628",0.7188
41,"ENSBTAG00000007338-ENSBTAG00000017593",0.7188
41,"ENSBTAG00000031998-ENSBTAG00000015708",0.7188
41,"ENSBTAG00000000073-ENSBTAG00000008849",0.7188
41,"ENSBTAG00000000559-ENSBTAG00000020661",0.7188
41,"ENSBTAG00000009972-ENSBTAG00000018105",0.7188
41,"ENSBTAG00000020645-ENSBTAG00000020199",0.7188
41,"ENSBTAG00000002317-ENSBTAG00000011154",0.7188
41,"ENSBTAG00000017246-ENSBTAG00000006240",0.7188
41,"ENSBTAG00000014737-ENSBTAG00000001462",0.7188
41,"ENSBTAG00000008027-ENSBTAG00000016948",0.7188
41,"ENSBTAG00000015991-ENSBTAG00000018993",0.7188
41,"ENSBTAG00000017473-ENSBTAG00000019289",0.7188
41,"ENSBTAG00000019267-ENSBTAG00000014357",0.7188
41,"ENSBTAG00000005077-ENSBTAG00000001060",0.7188
41,"ENSBTAG00000012004-ENSBTAG00000008997",0.7188
41,"ENSBTAG00000013103-ENSBTAG00000010682",0.7188
