	x
179	ENSBTAG00000014113-ENSBTAG00000019428
180	ENSBTAG00000021807-ENSBTAG00000021664
181	ENSBTAG00000015114-ENSBTAG00000017489
182	ENSBTAG00000022120-ENSBTAG00000008165
183	ENSBTAG00000022120-ENSBTAG00000017060
184	ENSBTAG00000022120-ENSBTAG00000006240
185	ENSBTAG00000012164-ENSBTAG00000010498
186	ENSBTAG00000015150-ENSBTAG00000016933
187	ENSBTAG00000012057-ENSBTAG00000005072
188	ENSBTAG00000011757-ENSBTAG00000011578
189	ENSBTAG00000009476-ENSBTAG00000013745
190	ENSBTAG00000014583-ENSBTAG00000026813
191	ENSBTAG00000021807-ENSBTAG00000016247
192	ENSBTAG00000012817-ENSBTAG00000005397
193	ENSBTAG00000008300-ENSBTAG00000011578
194	ENSBTAG00000018103-ENSBTAG00000006240
195	ENSBTAG00000003176-ENSBTAG00000017060
196	ENSBTAG00000046421-ENSBTAG00000006240
197	ENSBTAG00000017745-ENSBTAG00000016933
198	ENSBTAG00000002006-ENSBTAG00000017866
199	ENSBTAG00000014556-ENSBTAG00000026676
200	ENSBTAG00000000283-ENSBTAG00000012771
201	ENSBTAG00000020194-ENSBTAG00000015457
202	ENSBTAG00000017312-ENSBTAG00000017136
203	ENSBTAG00000017753-ENSBTAG00000004334
204	ENSBTAG00000032436-ENSBTAG00000018035
205	ENSBTAG00000001764-ENSBTAG00000026676
206	ENSBTAG00000007737-ENSBTAG00000006240
207	ENSBTAG00000011851-ENSBTAG00000018572
208	ENSBTAG00000006295-ENSBTAG00000019903
209	ENSBTAG00000006295-ENSBTAG00000017489
210	ENSBTAG00000013718-ENSBTAG00000005072
211	ENSBTAG00000013898-ENSBTAG00000016159
212	ENSBTAG00000023652-ENSBTAG00000001694
213	ENSBTAG00000011757-ENSBTAG00000004334
214	ENSBTAG00000002006-ENSBTAG00000014269
215	ENSBTAG00000007773-ENSBTAG00000018993
216	ENSBTAG00000020661-ENSBTAG00000017851
217	ENSBTAG00000025644-ENSBTAG00000019021
218	ENSBTAG00000019964-ENSBTAG00000003166
219	ENSBTAG00000011104-ENSBTAG00000017425
220	ENSBTAG00000017246-ENSBTAG00000019832
221	ENSBTAG00000009476-ENSBTAG00000011971
222	ENSBTAG00000021316-ENSBTAG00000015910
223	ENSBTAG00000005850-ENSBTAG00000022799
224	ENSBTAG00000025775-ENSBTAG00000019903
225	ENSBTAG00000025775-ENSBTAG00000017489
226	ENSBTAG00000039355-ENSBTAG00000011578
227	ENSBTAG00000005108-ENSBTAG00000010462
228	ENSBTAG00000020194-ENSBTAG00000010543
229	ENSBTAG00000031998-ENSBTAG00000015708
230	ENSBTAG00000006354-ENSBTAG00000017060
231	ENSBTAG00000019665-ENSBTAG00000005273
232	ENSBTAG00000008026-ENSBTAG00000047138
233	ENSBTAG00000000016-ENSBTAG00000015312
234	ENSBTAG00000015991-ENSBTAG00000024015
235	ENSBTAG00000021105-ENSBTAG00000005273
