"feature","importance","dataset","seed"
"`ENSBTAG00000009876-ENSBTAG00000006420`",16.7361788803517,"vivo",64
"`ENSBTAG00000009876-ENSBTAG00000020736`",12.2558779978227,"vivo",64
"`ENSBTAG00000012210-ENSBTAG00000039292`",8.76037286356957,"vivo",64
"`ENSBTAG00000012210-ENSBTAG00000037735`",5.36926078734909,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000020661`",16.3708015165882,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000014600`",3.22963054878141,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000026813`",44.7891086350103,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000011628`",0,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000010785`",26.6039671706988,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000014773`",12.9184770254676,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000012687`",15.1893258020365,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000004588`",26.4812962768134,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000010986`",48.364000732733,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000020667`",26.7553917464887,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000014567`",32.5535315327148,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000012100`",5.65651531681318,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000004337`",13.2674925170868,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000011050`",3.84326035304988,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000011425`",8.84637932927081,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000011515`",8.30499495619139,"vivo",64
"`ENSBTAG00000025644-ENSBTAG00000019021`",38.6073624279717,"vivo",64
"`ENSBTAG00000014583-ENSBTAG00000020661`",27.1566291671977,"vivo",64
"`ENSBTAG00000014583-ENSBTAG00000014600`",12.8950062645236,"vivo",64
"`ENSBTAG00000014583-ENSBTAG00000026813`",8.51067457577027,"vivo",64
"`ENSBTAG00000014583-ENSBTAG00000011628`",2.17378979244903,"vivo",64
"`ENSBTAG00000014583-ENSBTAG00000012687`",2.37319877607635,"vivo",64
"`ENSBTAG00000014583-ENSBTAG00000010986`",25.7392106751075,"vivo",64
"`ENSBTAG00000014583-ENSBTAG00000020667`",7.34567046664375,"vivo",64
"`ENSBTAG00000014583-ENSBTAG00000014567`",45.1562388723432,"vivo",64
"`ENSBTAG00000014583-ENSBTAG00000012100`",6.51515854936865,"vivo",64
"`ENSBTAG00000014583-ENSBTAG00000004337`",1.13037069207349,"vivo",64
"`ENSBTAG00000014583-ENSBTAG00000011050`",11.0525134336075,"vivo",64
"`ENSBTAG00000014583-ENSBTAG00000011515`",0,"vivo",64
"`ENSBTAG00000015114-ENSBTAG00000008165`",1.44036629096031,"vivo",64
"`ENSBTAG00000015114-ENSBTAG00000019929`",2.27958089568154,"vivo",64
"`ENSBTAG00000015114-ENSBTAG00000017489`",1.69555603811024,"vivo",64
"`ENSBTAG00000004129-ENSBTAG00000003220`",0,"vivo",64
"`ENSBTAG00000004129-ENSBTAG00000014162`",0,"vivo",64
"`ENSBTAG00000004129-ENSBTAG00000001338`",20.1320785170181,"vivo",64
"`ENSBTAG00000004129-ENSBTAG00000014798`",6.54279223327266,"vivo",64
"`ENSBTAG00000010738-ENSBTAG00000003220`",16.7170895610556,"vivo",64
"`ENSBTAG00000010738-ENSBTAG00000014162`",9.09520956017117,"vivo",64
"`ENSBTAG00000010738-ENSBTAG00000019428`",9.9405081620027,"vivo",64
"`ENSBTAG00000010738-ENSBTAG00000001338`",8.66876591863645,"vivo",64
"`ENSBTAG00000021326-ENSBTAG00000039292`",2.48035626146412,"vivo",64
"`ENSBTAG00000021326-ENSBTAG00000014798`",3.5167088197842,"vivo",64
"`ENSBTAG00000010161-ENSBTAG00000014162`",17.6302676191943,"vivo",64
"`ENSBTAG00000010161-ENSBTAG00000039292`",25.2477750568604,"vivo",64
"`ENSBTAG00000010161-ENSBTAG00000015133`",11.4272103852393,"vivo",64
"`ENSBTAG00000005581-ENSBTAG00000014162`",18.8331012072569,"vivo",64
"`ENSBTAG00000005581-ENSBTAG00000039292`",13.5003939656644,"vivo",64
"`ENSBTAG00000025257-ENSBTAG00000014162`",8.97436372906901,"vivo",64
"`ENSBTAG00000025257-ENSBTAG00000019428`",7.52467217518923,"vivo",64
"`ENSBTAG00000025257-ENSBTAG00000001338`",11.8420714843407,"vivo",64
"`ENSBTAG00000014113-ENSBTAG00000014162`",4.18526994706186,"vivo",64
"`ENSBTAG00000014113-ENSBTAG00000019428`",25.3228110049301,"vivo",64
"`ENSBTAG00000014113-ENSBTAG00000001338`",9.67094925440655,"vivo",64
"`ENSBTAG00000014113-ENSBTAG00000003220`",27.924611652901,"vivo",64
"`ENSBTAG00000010562-ENSBTAG00000011515`",29.0966515858962,"vivo",64
"`ENSBTAG00000010562-ENSBTAG00000020755`",33.1997375444068,"vivo",64
"`ENSBTAG00000017866-ENSBTAG00000006240`",6.5145047780025,"vivo",64
"`ENSBTAG00000017866-ENSBTAG00000014031`",18.7804048194008,"vivo",64
"`ENSBTAG00000011238-ENSBTAG00000017256`",0,"vivo",64
"`ENSBTAG00000006984-ENSBTAG00000021818`",34.2621134389377,"vivo",64
"`ENSBTAG00000040131-ENSBTAG00000017256`",0,"vivo",64
"`ENSBTAG00000022514-ENSBTAG00000013730`",0,"vivo",64
"`ENSBTAG00000015991-ENSBTAG00000021190`",44.4195472791481,"vivo",64
"`ENSBTAG00000015991-ENSBTAG00000011628`",56.5637494313576,"vivo",64
"`ENSBTAG00000015991-ENSBTAG00000010444`",65.3741049880464,"vivo",64
"`ENSBTAG00000015991-ENSBTAG00000021527`",19.8248908260525,"vivo",64
"`ENSBTAG00000015991-ENSBTAG00000018993`",6.57770258885784,"vivo",64
"`ENSBTAG00000015991-ENSBTAG00000005903`",3.99137789201123,"vivo",64
"`ENSBTAG00000015991-ENSBTAG00000000253`",3.67747265154577,"vivo",64
"`ENSBTAG00000015991-ENSBTAG00000024015`",11.1942394431868,"vivo",64
"`ENSBTAG00000017564-ENSBTAG00000017846`",14.9312671001632,"vivo",64
"`ENSBTAG00000017564-ENSBTAG00000000561`",33.5146447492662,"vivo",64
"`ENSBTAG00000017564-ENSBTAG00000018035`",6.86136866198121,"vivo",64
"`ENSBTAG00000017564-ENSBTAG00000019832`",6.45604384107744,"vivo",64
"`ENSBTAG00000021302-ENSBTAG00000019289`",29.382102189297,"vivo",64
"`ENSBTAG00000021302-ENSBTAG00000015910`",8.64783302487193,"vivo",64
"`ENSBTAG00000021217-ENSBTAG00000010682`",41.5807049442073,"vivo",64
"`ENSBTAG00000021217-ENSBTAG00000019289`",59.4505695970192,"vivo",64
"`ENSBTAG00000021217-ENSBTAG00000015910`",52.0984563415101,"vivo",64
"`ENSBTAG00000023907-ENSBTAG00000015996`",6.04119547121365,"vivo",64
"`ENSBTAG00000023907-ENSBTAG00000020644`",5.07775596366649,"vivo",64
"`ENSBTAG00000023907-ENSBTAG00000013745`",4.89195622158826,"vivo",64
"`ENSBTAG00000023907-ENSBTAG00000015910`",36.8241530243578,"vivo",64
"`ENSBTAG00000023907-ENSBTAG00000013755`",21.3005106164333,"vivo",64
"`ENSBTAG00000023907-ENSBTAG00000000782`",8.90839759705539,"vivo",64
"`ENSBTAG00000013103-ENSBTAG00000017866`",0.627983717818609,"vivo",64
"`ENSBTAG00000013103-ENSBTAG00000011578`",0,"vivo",64
"`ENSBTAG00000013103-ENSBTAG00000010682`",3.02955968574109,"vivo",64
"`ENSBTAG00000013103-ENSBTAG00000004885`",8.54560243207561,"vivo",64
"`ENSBTAG00000013103-ENSBTAG00000001462`",7.48047110626094,"vivo",64
"`ENSBTAG00000013103-ENSBTAG00000019289`",5.92816629620765,"vivo",64
"`ENSBTAG00000013103-ENSBTAG00000013745`",2.14175499550767,"vivo",64
"`ENSBTAG00000013103-ENSBTAG00000019929`",3.21527663523127,"vivo",64
"`ENSBTAG00000013103-ENSBTAG00000015910`",1.02271634044745,"vivo",64
"`ENSBTAG00000013472-ENSBTAG00000017866`",0,"vivo",64
"`ENSBTAG00000013472-ENSBTAG00000011578`",12.7818839796003,"vivo",64
"`ENSBTAG00000013472-ENSBTAG00000001462`",6.31884237805058,"vivo",64
"`ENSBTAG00000013472-ENSBTAG00000019289`",3.6602479552856,"vivo",64
"`ENSBTAG00000013472-ENSBTAG00000008165`",3.47749086428406,"vivo",64
"`ENSBTAG00000013472-ENSBTAG00000019929`",4.87486987906643,"vivo",64
"`ENSBTAG00000013472-ENSBTAG00000015910`",25.6305400061759,"vivo",64
"`ENSBTAG00000013155-ENSBTAG00000010682`",7.49991982994794,"vivo",64
"`ENSBTAG00000013155-ENSBTAG00000008373`",6.05555727896514,"vivo",64
"`ENSBTAG00000013155-ENSBTAG00000019289`",62.6956876576354,"vivo",64
"`ENSBTAG00000013155-ENSBTAG00000008165`",7.23326283397947,"vivo",64
"`ENSBTAG00000013155-ENSBTAG00000015910`",19.006896761311,"vivo",64
"`ENSBTAG00000021466-ENSBTAG00000010682`",11.1823367499268,"vivo",64
"`ENSBTAG00000021466-ENSBTAG00000004885`",2.00336467272102,"vivo",64
"`ENSBTAG00000021466-ENSBTAG00000019289`",1.89133919719486,"vivo",64
"`ENSBTAG00000021466-ENSBTAG00000015910`",11.2888423391066,"vivo",64
"`ENSBTAG00000012849-ENSBTAG00000003585`",0,"vivo",64
"`ENSBTAG00000012849-ENSBTAG00000019289`",14.409658513875,"vivo",64
"`ENSBTAG00000012849-ENSBTAG00000019929`",38.3217069535321,"vivo",64
"`ENSBTAG00000012849-ENSBTAG00000015910`",3.17978190335457,"vivo",64
"`ENSBTAG00000025210-ENSBTAG00000013755`",25.8025949977309,"vivo",64
"`ENSBTAG00000021316-ENSBTAG00000003585`",5.2642977945137,"vivo",64
"`ENSBTAG00000021316-ENSBTAG00000019289`",1.42642015904512,"vivo",64
"`ENSBTAG00000021316-ENSBTAG00000019929`",5.33769195704051,"vivo",64
"`ENSBTAG00000021316-ENSBTAG00000015910`",25.358721719246,"vivo",64
"`ENSBTAG00000014575-ENSBTAG00000003585`",18.5619097208742,"vivo",64
"`ENSBTAG00000014575-ENSBTAG00000019289`",44.1404058131567,"vivo",64
"`ENSBTAG00000014575-ENSBTAG00000019929`",8.99051854477012,"vivo",64
"`ENSBTAG00000014575-ENSBTAG00000015910`",6.55615001402626,"vivo",64
"`ENSBTAG00000013760-ENSBTAG00000003585`",7.31195602210086,"vivo",64
"`ENSBTAG00000013760-ENSBTAG00000019289`",1.91661643555203,"vivo",64
"`ENSBTAG00000013760-ENSBTAG00000019929`",77.8367601630091,"vivo",64
"`ENSBTAG00000013760-ENSBTAG00000015910`",18.9060638312669,"vivo",64
"`ENSBTAG00000010179-ENSBTAG00000026676`",16.7773607661167,"vivo",64
"`ENSBTAG00000011802-ENSBTAG00000019289`",34.9888395712639,"vivo",64
"`ENSBTAG00000011802-ENSBTAG00000017266`",50.160396024297,"vivo",64
"`ENSBTAG00000011802-ENSBTAG00000015910`",9.2005257412673,"vivo",64
"`ENSBTAG00000019269-ENSBTAG00000019289`",41.1729450511398,"vivo",64
"`ENSBTAG00000019269-ENSBTAG00000015910`",62.1916761520015,"vivo",64
"`ENSBTAG00000004630-ENSBTAG00000015910`",22.9877167488657,"vivo",64
"`ENSBTAG00000012164-ENSBTAG00000010498`",30.2364381363237,"vivo",64
"`ENSBTAG00000000283-ENSBTAG00000012771`",14.1469407619935,"vivo",64
"`ENSBTAG00000001725-ENSBTAG00000039292`",13.0034577663396,"vivo",64
"`ENSBTAG00000001725-ENSBTAG00000001338`",0,"vivo",64
"`ENSBTAG00000001725-ENSBTAG00000014798`",12.7557985020909,"vivo",64
"`ENSBTAG00000001725-ENSBTAG00000015127`",3.60222149625312,"vivo",64
"`ENSBTAG00000005077-ENSBTAG00000018424`",3.51290285785803,"vivo",64
"`ENSBTAG00000005077-ENSBTAG00000039292`",3.04123543343583,"vivo",64
"`ENSBTAG00000005077-ENSBTAG00000034883`",4.42119424072655,"vivo",64
"`ENSBTAG00000005077-ENSBTAG00000003255`",6.8417813179373,"vivo",64
"`ENSBTAG00000005077-ENSBTAG00000014798`",15.1053409244894,"vivo",64
"`ENSBTAG00000005077-ENSBTAG00000001060`",8.13866898292915,"vivo",64
"`ENSBTAG00000005077-ENSBTAG00000015910`",17.7169953120403,"vivo",64
