"Sample","ENSBTAG00000012817-ENSBTAG00000007909","ENSBTAG00000012817-ENSBTAG00000022799","ENSBTAG00000015991-ENSBTAG00000021190","ENSBTAG00000012817-ENSBTAG00000005397","ENSBTAG00000016800-ENSBTAG00000000782","ENSBTAG00000014583-ENSBTAG00000010986","ENSBTAG00000014737-ENSBTAG00000000782","ENSBTAG00000025644-ENSBTAG00000010986","ENSBTAG00000005339-ENSBTAG00000011628","ENSBTAG00000038045-ENSBTAG00000018572","ENSBTAG00000007446-ENSBTAG00000015591","ENSBTAG00000019866-ENSBTAG00000000782","ENSBTAG00000009357-ENSBTAG00000012119","ENSBTAG00000005250-ENSBTAG00000008008","ENSBTAG00000021697-ENSBTAG00000019929","ENSBTAG00000015991-ENSBTAG00000010444","ENSBTAG00000002317-ENSBTAG00000012119","ENSBTAG00000015362-ENSBTAG00000002081","ENSBTAG00000032436-ENSBTAG00000010444","ENSBTAG00000008027-ENSBTAG00000017981","ENSBTAG00000015089-ENSBTAG00000023144","ENSBTAG00000023600-ENSBTAG00000005910","ENSBTAG00000008027-ENSBTAG00000007175","ENSBTAG00000005111-ENSBTAG00000002081","ENSBTAG00000012398-ENSBTAG00000014357"
"SW_PR_2.PR_Hols_2",112.269875499667,88.9184689487532,85.5177199580533,100.323199040841,73.2121583842115,59.9891012992944,16.2323123093275,63.3615672007888,55.6506989502132,45.8738634026406,19.2656522093799,60.1631107253652,14.8393471040843,47.5189572900676,81.1561935692845,90.2571966754137,58.3510953489439,66.0834363430233,94.1018018993462,8.47926284822058,76.2228183112514,16.3102707586525,8.09769322911612,67.7937898368109,59.4225293765673
"SW_PR_3.PR_Hols_2",111.90128291885,88.6265412361212,84.7043851756223,99.9938285246121,71.3565436387952,58.7156736389382,16.2323123093275,65.5256240651909,54.5365163340081,11.1197240332285,19.2656522093799,16.2323123093275,14.8393471040843,15.4818309431243,19.3249757517644,89.3987860739987,49.8850613662822,51.1484692502805,93.0988317474694,35.7930177229652,81.066926557039,16.3102707586525,34.1823201442225,66.6534039056863,21.1975642132638
"SW_PR_5.PR_Hols_2",105.940204523811,83.9053285171139,83.8536298015776,94.6670705526985,69.8258355744333,58.8157640386103,16.2323123093275,65.6656454728484,56.3059495543199,11.1197240332285,19.2656522093799,58.5823036685629,14.8393471040843,45.3828341284043,47.2986388472452,88.50088099473,66.6526981891721,51.6659815784546,90.9475784055538,32.4020341346079,83.6025213948701,16.3102707586525,30.9439319334776,64.2844698585201,21.1975642132638
"SW_PR_6.PR_Hols_2",104.708104350081,82.9294971950253,84.7353297477055,93.5660785865346,72.4837122519521,57.1486960622759,54.3119438600924,65.825010766669,58.4549604313243,11.1197240332285,19.2656522093799,16.2323123093275,14.8393471040843,15.4818309431243,19.3249757517644,89.4314456249073,59.7426825875552,51.7451142443307,92.273624766949,40.6110773996559,82.0153034877609,31.4517743672267,38.7835655496063,65.031770555963,21.1975642132638
"Zo_PR_2.PR_Hols_5",103.254856237415,75.9843060797967,76.3652936410263,89.4147742522584,70.699364613664,59.6474904325095,15.345319796689,64.2090146897424,47.5211098251264,11.2724111920596,20.4201080327365,52.5757710458779,13.1506912407638,15.0193557815374,77.3953433244485,83.2650559736096,64.6604041867586,55.590160842901,87.9438603210766,21.3565687790749,79.556150613104,58.4618968552968,21.3565687790749,58.2281739715209,19.7463954454907
"Zo_PR_3.PR_Hols_5",112.180178826141,82.5523694925564,78.2586312198738,97.1437637979374,76.131781187107,58.968976639761,15.345319796689,64.1130738069072,52.9675207050202,46.8317052854747,20.4201080327365,66.629486873683,13.1506912407638,49.0305394318339,75.9810814114579,85.3294605213188,61.7027341135119,44.0091798727046,88.3356357049379,39.4332575983617,81.005998911844,17.0882525526166,39.4332575983617,54.2893313165086,19.7463954454907
"SW_PR_1.PR_Hols_5",101.420480115913,74.6344054382118,77.3638120897085,87.8262743717233,70.0739369170411,61.001942397619,15.345319796689,65.745397128337,52.9370925899857,11.2724111920596,20.4201080327365,15.345319796689,13.1506912407638,15.0193557815374,18.8370392789666,84.3537926307492,56.1787954684845,12.4118078609706,87.4878771671435,8.56827795148974,83.3633970641606,17.0882525526166,8.56827795148974,58.8451100164954,19.7463954454907
"SW_PR_2.PR_Hols_5",110.932283527275,81.634054734299,79.3377882222879,96.0631339805661,69.2115800880691,60.1116785309789,15.345319796689,63.4910354764331,51.7295562889814,46.5037666130639,20.4201080327365,56.8755797973299,13.1506912407638,46.0994651426659,79.1070801657515,86.5061215924163,51.7109838534017,56.9508956270257,90.1909456200491,8.56827795148974,78.1549642354864,17.0882525526166,8.56827795148974,58.4248831903299,55.3545092085049
"SW_PR_3.PR_Hols_5",110.568082386949,81.3660424399669,78.5832290180203,95.7477496593699,67.457362873341,58.8356488440217,15.345319796689,65.6595142123735,50.6938788680607,11.2724111920596,20.4201080327365,15.345319796689,13.1506912407638,15.0193557815374,18.8370392789666,85.6833864023431,44.2083492591106,44.0798980040086,89.229658751991,36.1687719867445,83.1218641099624,17.0882525526166,36.1687719867445,57.4420953128823,19.7463954454907
"SW_PR_5.PR_Hols_5",104.678024740553,77.0316027889891,77.7939534184365,90.6471839913067,66.0102982583072,58.9359437609118,15.345319796689,65.7998217292768,52.3386380013036,11.2724111920596,20.4201080327365,55.3811537808002,13.1506912407638,44.0271525152985,46.1043951232833,84.8227981187849,59.0678988840664,44.5258916178176,87.1678111650213,32.7421899319043,85.7217328665486,17.0882525526166,32.7421899319043,55.4005411332968,19.7463954454907
