"Sample","ENSBTAG00000020556-ENSBTAG00000018517","ENSBTAG00000010123-ENSBTAG00000018517","ENSBTAG00000000283-ENSBTAG00000012771","ENSBTAG00000008300-ENSBTAG00000011741","ENSBTAG00000009357-ENSBTAG00000012771","ENSBTAG00000000016-ENSBTAG00000016455","ENSBTAG00000020645-ENSBTAG00000011628","ENSBTAG00000020645-ENSBTAG00000021527","ENSBTAG00000014113-ENSBTAG00000019428","ENSBTAG00000008300-ENSBTAG00000033669","ENSBTAG00000008300-ENSBTAG00000015910","ENSBTAG00000001764-ENSBTAG00000021190","ENSBTAG00000000073-ENSBTAG00000014611","ENSBTAG00000007737-ENSBTAG00000011628","ENSBTAG00000008300-ENSBTAG00000001462","ENSBTAG00000019665-ENSBTAG00000005273","ENSBTAG00000020645-ENSBTAG00000011461","ENSBTAG00000003658-ENSBTAG00000018517","ENSBTAG00000006354-ENSBTAG00000017060","ENSBTAG00000025257-ENSBTAG00000019428"
"Zo_IVT_PR_2.PR_Hols_4",55.9876392286226,54.8851831538403,61.3854657267786,95.0495454809317,63.0717751620094,94.0209905914358,44.4464842474224,42.3473477530614,40.4203542184782,83.6551945213453,155.484505074529,59.3926679378191,75.2512139590999,58.372585767194,50.4655922457815,52.733795277961,41.9211349045727,51.6216773454613,71.2276389517691,38.3277005508311
"Zo_IVT_PR_3.PR_Hols_4",55.9876392286226,54.8851831538403,61.3854657267786,94.8531840419694,63.0717751620094,94.0209905914358,44.4464842474224,42.3473477530614,40.4203542184782,83.4823725021577,155.163291953537,59.3926679378191,89.3103599332615,62.858445336363,50.3613361311276,52.733795277961,41.9211349045727,51.6216773454613,71.2276389517691,38.3277005508311
"Zo_IVT_PR_7.PR_Hols_4",62.3390007915003,61.7584505641239,72.7402978621816,91.7087142933326,73.5867746174434,95.861143191101,46.2934855066501,44.1071180914632,47.8917739367024,80.7148555492074,150.019487003027,61.6473273626265,76.7251226654705,62.5298743431562,48.691811807145,58.747680278409,43.6631937033289,58.6800895582313,75.0928284857994,46.8579005113188
"SW_IVT_PR_2.PR_Hols_4",63.8224341822608,63.8376934021288,73.5337537124893,92.2382625513041,78.5251870568629,97.645363702449,56.3346345415345,53.6740396876348,47.1996826814518,81.1809226124943,150.885735740853,65.8857212359144,87.6723790801374,59.670629796921,48.9729700843997,81.0268290034858,53.1338272172208,50.3585785788986,80.0989921113197,36.8076522777676
"SW_IVT_PR_4.PR_Hols_4",57.8325984999214,60.8656320298928,62.1601359170646,91.5436489826693,70.2508834524347,95.7272337474713,57.010652290358,54.3181301974107,47.5939364370388,80.5695779405414,149.74946889822,66.3727058302124,86.7586281149941,60.1004131463251,48.6041720544275,81.7388579886387,53.771435156885,51.1723621376886,82.1169903611538,48.0741371029222
"Zo_IVT_PR_2.PR_Hols_8",54.8589032343704,53.7786731700225,57.8752205097193,94.054727633216,59.4651006101,93.5180277697232,48.3607327650785,47.823196250718,38.5576589077417,81.0807288609314,158.157808991786,67.9834264725054,80.4089767595033,63.5132579976245,52.319070662881,53.2882877369996,45.321785586506,50.580961106908,66.7978542556447,36.5614412127398
"Zo_IVT_PR_3.PR_Hols_8",54.8589032343704,53.7786731700225,57.8752205097193,93.8604213736141,59.4651006101,93.5180277697232,48.3607327650785,47.823196250718,38.5576589077417,80.9132253919702,157.831073132086,67.9834264725054,95.4317449305159,68.3941717418613,52.2109854747977,53.2882877369996,45.321785586506,50.580961106908,66.7978542556447,36.5614412127398
"Zo_IVT_PR_7.PR_Hols_8",61.0822184908259,60.513372417208,68.5807418559656,90.7488626148375,69.3788139775518,95.3483365213488,50.3703930526512,49.8105188745652,45.684772428191,78.2308780139728,152.598828797103,70.5642075444622,81.9839080420816,68.0366646349241,50.4801435844572,59.3654083506762,47.2051605365411,57.4970725540698,70.4226601731822,44.6985430974373
"SW_IVT_PR_2.PR_Hols_8",62.53574519707,62.5506967842006,69.3288250016678,91.2728684574762,74.0348299499885,97.1230123918959,61.2958314388951,60.614519438588,45.0245748849249,78.6826019912535,153.47997127719,75.4156571972687,93.6814958990125,64.925616286516,50.771628121159,81.8788208888683,57.4440536977605,49.3433269797149,75.1174807956073,35.1114414794547
"SW_IVT_PR_4.PR_Hols_8",56.6666672967599,59.6385535062831,58.605592228078,90.5855249286069,66.233681257852,95.2151434227735,62.0313837384495,61.3418959683262,45.4006602044363,78.0900712838562,152.32416816887,75.9730809081274,92.7051159012079,65.3932491726563,50.3892850368557,82.598336812915,58.1333845184908,50.1407042958594,77.0099758293377,45.8587317340009
