"feature","shap_importance","dataset","seed"
"ENSBTAG00000021697.ENSBTAG00000005990",0,"vivo",28
"ENSBTAG00000021697.ENSBTAG00000019929",0,"vivo",28
"ENSBTAG00000002278.ENSBTAG00000013745",0,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000018993",0.1009375,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000015910",0.1,"vivo",28
"ENSBTAG00000002317.ENSBTAG00000014966",0,"vivo",28
"ENSBTAG00000002317.ENSBTAG00000026676",0,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000010347",0.0882500000000001,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000017060",0.0975000000000001,"vivo",28
"ENSBTAG00000002317.ENSBTAG00000018052",0,"vivo",28
"ENSBTAG00000021697.ENSBTAG00000007173",0,"vivo",28
"ENSBTAG00000002317.ENSBTAG00000011154",0,"vivo",28
"ENSBTAG00000020638.ENSBTAG00000000782",0,"vivo",28
"ENSBTAG00000020406.ENSBTAG00000021527",0.3924375,"vitro",28
"ENSBTAG00000000283.ENSBTAG00000012771",0,"vitro",28
"ENSBTAG00000000016.ENSBTAG00000016455",0,"vitro",28
"ENSBTAG00000004630.ENSBTAG00000019929",0,"vitro",28
"ENSBTAG00000000470.ENSBTAG00000019929",0,"vitro",28
"ENSBTAG00000022120.ENSBTAG00000019929",0,"vitro",28
"ENSBTAG00000009761.ENSBTAG00000012314",0.096705,"vitro",28
"ENSBTAG00000009357.ENSBTAG00000012771",0,"vitro",28
"ENSBTAG00000015043.ENSBTAG00000022799",0,"vitro",28
"ENSBTAG00000010123.ENSBTAG00000018517",0,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",28
"ENSBTAG00000021316.ENSBTAG00000019929",0,"vitro",28
"ENSBTAG00000031998.ENSBTAG00000015708",0,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000011741",0,"vitro",28
"ENSBTAG00000020556.ENSBTAG00000018517",0,"vitro",28
"ENSBTAG00000007737.ENSBTAG00000019832",0,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000015910",0,"vitro",28
"ENSBTAG00000017280.ENSBTAG00000037735",0,"vitro",28
"ENSBTAG00000020645.ENSBTAG00000021527",0,"vitro",28
"ENSBTAG00000026236.ENSBTAG00000019929",0,"vitro",28
"ENSBTAG00000012817.ENSBTAG00000007909",0.00864311893536438,"vivo",21
"ENSBTAG00000025644.ENSBTAG00000010986",0.00157378893571333,"vivo",21
"ENSBTAG00000014583.ENSBTAG00000010986",0.0037676335800494,"vivo",21
"ENSBTAG00000002278.ENSBTAG00000015910",0.0809348649559024,"vivo",21
"ENSBTAG00000002278.ENSBTAG00000019929",0.109895865456187,"vivo",21
"ENSBTAG00000021697.ENSBTAG00000002804",0.000412171174735623,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000003418",0.00626834616452787,"vivo",21
"ENSBTAG00000021697.ENSBTAG00000005990",0.000431217724984069,"vivo",21
"ENSBTAG00000021697.ENSBTAG00000019929",0.000473462301587302,"vivo",21
"ENSBTAG00000002278.ENSBTAG00000013745",0.0794101263522184,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000018993",0.00661621956731164,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000015910",0.00556830142545371,"vivo",21
"ENSBTAG00000002317.ENSBTAG00000014966",0.0412815382163656,"vivo",21
"ENSBTAG00000002317.ENSBTAG00000026676",0.0364235392108845,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000010347",0.00622153801839277,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000017060",0.00782443218255681,"vivo",21
"ENSBTAG00000002317.ENSBTAG00000018052",0.042797615622561,"vivo",21
"ENSBTAG00000021697.ENSBTAG00000007173",0.000276075116375651,"vivo",21
"ENSBTAG00000002317.ENSBTAG00000011154",0.0365987059745854,"vivo",21
"ENSBTAG00000020638.ENSBTAG00000000782",0.016994263913303,"vivo",21
"ENSBTAG00000020406.ENSBTAG00000021527",0,"vitro",21
"ENSBTAG00000000283.ENSBTAG00000012771",0,"vitro",21
"ENSBTAG00000000016.ENSBTAG00000016455",0.001985,"vitro",21
"ENSBTAG00000004630.ENSBTAG00000019929",0.071,"vitro",21
"ENSBTAG00000000470.ENSBTAG00000019929",0.0780000000000001,"vitro",21
"ENSBTAG00000022120.ENSBTAG00000019929",0.0805625000000001,"vitro",21
"ENSBTAG00000009761.ENSBTAG00000012314",0,"vitro",21
"ENSBTAG00000009357.ENSBTAG00000012771",0,"vitro",21
"ENSBTAG00000015043.ENSBTAG00000022799",0,"vitro",21
"ENSBTAG00000010123.ENSBTAG00000018517",0,"vitro",21
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",21
"ENSBTAG00000021316.ENSBTAG00000019929",0.101,"vitro",21
"ENSBTAG00000031998.ENSBTAG00000015708",0.000925,"vitro",21
"ENSBTAG00000008300.ENSBTAG00000011741",0,"vitro",21
"ENSBTAG00000020556.ENSBTAG00000018517",0,"vitro",21
"ENSBTAG00000007737.ENSBTAG00000019832",0,"vitro",21
"ENSBTAG00000008300.ENSBTAG00000015910",0,"vitro",21
"ENSBTAG00000017280.ENSBTAG00000037735",0,"vitro",21
"ENSBTAG00000020645.ENSBTAG00000021527",0.0835000000000001,"vitro",21
"ENSBTAG00000026236.ENSBTAG00000019929",0.0810000000000001,"vitro",21
"ENSBTAG00000012817.ENSBTAG00000007909",0.0178158176505348,"vivo",94
"ENSBTAG00000025644.ENSBTAG00000010986",0.142340298364698,"vivo",94
"ENSBTAG00000014583.ENSBTAG00000010986",0.162051014653128,"vivo",94
