"Sample","ENSBTAG00000000073-ENSBTAG00000014611","ENSBTAG00000015978-ENSBTAG00000011628","ENSBTAG00000013472-ENSBTAG00000017866","ENSBTAG00000021697-ENSBTAG00000002804","ENSBTAG00000009972-ENSBTAG00000011909","ENSBTAG00000021697-ENSBTAG00000005990","ENSBTAG00000020645-ENSBTAG00000011628","ENSBTAG00000047330-ENSBTAG00000017851","ENSBTAG00000012829-ENSBTAG00000017745","ENSBTAG00000005339-ENSBTAG00000011628","ENSBTAG00000019665-ENSBTAG00000005273","ENSBTAG00000021697-ENSBTAG00000007173","ENSBTAG00000009357-ENSBTAG00000012771","ENSBTAG00000021697-ENSBTAG00000019929","ENSBTAG00000019910-ENSBTAG00000015510","ENSBTAG00000016177-ENSBTAG00000011628","ENSBTAG00000021807-ENSBTAG00000016247","ENSBTAG00000010123-ENSBTAG00000018517","ENSBTAG00000003329-ENSBTAG00000006420","ENSBTAG00000013472-ENSBTAG00000001462","ENSBTAG00000025644-ENSBTAG00000011628","ENSBTAG00000005198-ENSBTAG00000011628","ENSBTAG00000015991-ENSBTAG00000011628","ENSBTAG00000000277-ENSBTAG00000027676","ENSBTAG00000005947-ENSBTAG00000019929","ENSBTAG00000009212-ENSBTAG00000012314","ENSBTAG00000005339-ENSBTAG00000001694","ENSBTAG00000007737-ENSBTAG00000011628","ENSBTAG00000021217-ENSBTAG00000019289","ENSBTAG00000005339-ENSBTAG00000007213","ENSBTAG00000013472-ENSBTAG00000011578","ENSBTAG00000000793-ENSBTAG00000019289","ENSBTAG00000013155-ENSBTAG00000019289","ENSBTAG00000007273-ENSBTAG00000034385","ENSBTAG00000008300-ENSBTAG00000033669","ENSBTAG00000000073-ENSBTAG00000018517","ENSBTAG00000005339-ENSBTAG00000019929","ENSBTAG00000008237-ENSBTAG00000005273","ENSBTAG00000012398-ENSBTAG00000012314","ENSBTAG00000012817-ENSBTAG00000007909"
"SW_NP_3.NP_Hols_7",101.373506657259,69.7815184505796,58.6217468154983,15.7440179433263,17.9922338390548,13.4927549766514,66.8782853520103,63.9016138107375,20.4928592030962,57.6904339344466,76.3688104711883,16.9371329932588,16.1208227178412,18.4661253805875,53.1301377734406,12.1696607553451,15.0132626002306,13.2973942236639,14.7110221539853,42.7747084801229,70.1164978069138,12.1696607553451,68.8380910417678,61.080484520515,105.903833883439,15.2414017802052,68.7923923673205,71.5367280884269,61.8984476759897,67.5976186019145,79.3519419368718,14.3588415918708,14.3588415918708,10.1919118016619,82.9612644391613,77.5409146098857,87.5389057847057,78.8015296651744,15.2414017802052,98.3838368893495
"SW_NP_5.NP_Hols_7",100.811762618494,68.6994351828113,59.5693252891942,15.7440179433263,17.9922338390548,13.4927549766514,67.0394908348987,66.4314310428203,20.4928592030962,57.9621896061293,75.2416878061313,16.9371329932588,16.1208227178412,18.4661253805875,52.0842900917931,12.1696607553451,46.7083653892473,33.4290464360148,14.7110221539853,43.4661309500461,70.4487046933806,12.1696607553451,69.2002436684326,57.0794881942408,104.933509982555,15.2414017802052,69.1164447538165,71.8726537673848,60.4512976766637,67.9160429054688,80.6346091399151,14.3588415918708,14.3588415918708,10.1919118016619,82.6166874437712,77.1112348249121,87.951265209267,79.9317378554602,15.2414017802052,87.4163088756109
"Zo_NP_1.NP_Hols_8",103.165990074903,72.0891626472504,64.0389831540579,15.3249902047501,17.5113006854898,13.9173724534221,72.1201568531215,67.4515098975399,20.7949180774583,67.7575077224809,82.015846448201,17.3514752393322,15.7621709031474,18.3400282637602,50.5086006124074,12.9737448480179,26.1955713773291,14.1232992084044,15.1613395399973,43.4885181466035,76.90866986483,12.9737448480179,74.465787151608,60.3228935407563,107.441858048375,14.4380887633472,74.2506222507242,76.3475468684223,40.6440171467092,80.9925715157914,80.4739378485,14.4456563807354,14.4456563807354,10.0281648400858,78.9669051496869,82.5138381695347,95.7838019222416,79.2723860737412,14.4380887633472,101.512557217769
"Zo_NP_8.NP_Hols_8",103.171584166412,73.3869849410571,66.7198887404269,15.3249902047501,17.5113006854898,13.9173724534221,71.8194040117971,67.3760431094271,20.7949180774583,60.9466470325706,80.3716914172834,17.3514752393322,15.7621709031474,18.3400282637602,51.6050103306947,12.9737448480179,12.7593066153899,14.1232992084044,15.1613395399973,45.3091062555943,75.9600100682111,12.9737448480179,74.4897175268102,68.3519253089875,103.721442074398,14.4380887633472,66.7870855698871,76.3644190015155,37.2752326713409,72.8513464316133,83.8428706283374,14.4456563807354,14.4456563807354,10.0281648400858,79.840640060218,82.5183124149821,86.1557894234008,84.3611546203239,14.4380887633472,55.1754929590766
"Zo_NP_12.NP_Hols_8",101.823234908851,71.5070867231659,65.6142283101025,45.2515919519838,17.5113006854898,41.0951818495017,71.53492692916,67.8446027983769,20.7949180774583,67.4099525575888,80.7423490465165,51.2353917884946,15.7621709031474,54.1543886352559,49.2400327371251,12.9737448480179,31.234478440334,14.1232992084044,15.1613395399973,44.5582583919974,76.5843856178737,12.9737448480179,74.4884564794836,62.4929701867091,107.757327803388,14.4380887633472,73.8697613228786,74.9184014903977,14.4456563807354,80.5771284528101,82.4534536768311,14.4456563807354,14.4456563807354,10.0281648400858,78.8639165935886,81.4398807307266,95.2924887646293,76.641783173054,14.4380887633472,91.4783096824577
"Zo_NP_14.NP_Hols_8",102.107533180282,74.3734174515274,62.7685059141312,15.3249902047501,17.5113006854898,13.9173724534221,71.9354665531668,68.3958916984826,20.7949180774583,66.1441716627189,78.4836860778379,17.3514752393322,15.7621709031474,18.3400282637602,50.7508649136269,12.9737448480179,40.5014566651796,14.1232992084044,15.1613395399973,42.6257441020738,75.8043488819339,12.9737448480179,73.8829319755475,66.5422935531758,106.25927233166,14.4380887633472,72.482682278264,75.3687291976657,66.12240494932,79.0641027661074,78.8774055269634,14.4456563807354,14.4456563807354,10.0281648400858,80.672208150365,81.6672671159459,93.5031474711485,78.6247045604921,14.4380887633472,97.7381042510025
"SW_NP_1.NP_Hols_8",101.707553615023,72.8424136986276,65.6778322476851,15.3249902047501,17.5113006854898,13.9173724534221,69.2053733518421,72.5693611228417,20.7949180774583,58.6093912763308,76.0979077822556,17.3514752393322,15.7621709031474,18.3400282637602,52.5567759646452,38.4048971121172,12.7593066153899,14.1232992084044,15.1613395399973,44.6014514731102,73.1597828859879,12.9737448480179,74.1707497924374,54.8309544737729,104.905880842707,14.4380887633472,64.2258536106084,74.1023282654521,60.7394183507445,70.0575548600095,82.5333809190802,46.2822155939145,14.4456563807354,26.1336713737937,80.8055851960241,81.3473569488948,82.8517829756693,76.1941483729873,14.4380887633472,96.2840873654317
"SW_NP_3.NP_Hols_8",102.969901264718,74.3921818106092,64.0321677471555,15.3249902047501,17.5113006854898,13.9173724534221,71.2971238453644,63.4672538779253,20.7949180774583,61.5022049573735,77.1556756496552,17.3514752393322,15.7621709031474,18.3400282637602,49.3386021876403,12.9737448480179,12.7593066153899,14.1232992084044,15.1613395399973,43.4838898415906,74.749294205589,12.9737448480179,73.3864194700957,62.7022464602189,105.180662788343,14.4380887633472,67.3958818937114,76.2633631404758,62.2726910041616,73.5154214023171,80.4653733366283,14.4456563807354,14.4456563807354,10.0281648400858,81.534107113132,82.3570031472683,86.9411407743331,79.6134603384542,14.4380887633472,97.3432873075033
"SW_NP_5.NP_Hols_8",102.399311076856,73.2386022242456,65.0672017930063,15.3249902047501,17.5113006854898,13.9173724534221,71.4689806329232,65.9798751242196,20.7949180774583,61.7919162990693,76.0169396889147,17.3514752393322,15.7621709031474,18.3400282637602,48.3673895223597,12.9737448480179,39.695992228626,35.5053341373672,15.1613395399973,44.1867757193543,75.1034509457333,12.9737448480179,73.7725005506489,58.5950187637488,104.216964806203,14.4380887633472,67.7133558994276,76.6214843843061,60.8167914117126,73.8617220168164,81.7660383593146,14.4456563807354,14.4456563807354,10.0281648400858,81.1954577706855,81.9006358271068,87.3506843762211,80.7553136160979,14.4380887633472,86.4917565657701
"Zo_PR_1.PR_Hols_1",98.4038054075011,63.785731811192,65.2991516043359,58.095687075678,17.7876654275746,46.9398383125062,62.2381158704056,57.7098196851979,20.718002017616,47.2025198465153,66.4485211993949,55.7619260443675,17.6360656770488,66.9244334083278,46.01203102009,12.0703559741655,53.8918064699021,63.2814728747835,15.2484110243323,38.4148380745743,66.6764975937176,12.0703559741655,67.8674438190858,62.7454414343486,97.2956987394367,16.1685151201512,61.0933928465848,69.2338273941945,58.8845792770977,63.7627704295921,89.5958737755643,51.7186371791733,13.4892681283103,45.3032882711737,82.9100150386239,86.9335426922132,73.8756897107003,76.0029753035592,16.1685151201512,106.832257342214
