	nonPR_Hols_1	nonPR_Hols_2	nonPR_Hols_3	nonPR_Hols_4	nonPR_Hols_5	nonPR_Hols_6	nonPR_Hols_7	nonPR_Hols_8	nonPR_Hols_9	nonPR_Hols_10	nonPR_Hols_11	PR_Hols_1	PR_Hols_2	PR_Hols_3	PR_Hols_4	PR_Hols_5	PR_Hols_6	PR_Hols_7	PR_Hols_8	PR_Jap_1	PR_Jap_2	PR_Jap_3	PR_Jap_4	PR_Jap_5	PR_Jap_6	nonPR_Jap_1	nonPR_Jap_2	nonPR_Jap_3	nonPR_Jap_4	nonPR_Jap_5	nonPR_Sim_1	nonPR_Sim_2	nonPR_Sim_3	PR_Sim_1	PR_Sim_2	PR_Sim_3	PR_Cont_1	PR_Cont_2	PR_Cont_3	PR_Cont_4	PR_Cont_5	PR_Cont_6	nonPR_Cont_1	nonPR_Cont_2	nonPR_Cont_3	nonPR_Cont_4	nonPR_Cont_5	nonPR_Cont_6	nonPR_Sim2_1	nonPR_Sim2_2	nonPR_Sim2_3	PR_Sim2_1	PR_Sim2_2	PR_Sim2_3
Zo_NP_13	52320.4190081654	52589.6459511691	52962.4523939498	53798.4605946698	53230.903938281	52782.9793838017	52453.2729575612	52508.5300385332	52320.9048002306	52788.9488575203	51392.042748115	53984.8802997827	54188.5744046707	52782.0768439863	52444.1173662964	52581.6792595968	52954.2496533188	52847.3642089236	53400.4198643271	53880.2555589861	53742.8441091415	53830.7108540328	53784.1205421806	54019.1382889895	53302.5072927397	53306.1710155032	53433.8661782487	53439.6972053787	53882.8929487616	52908.6538501916	49950.1926235748	50114.9098678796	50486.0955166266	49863.5084640063	49918.4267346367	50157.3477488344	49755.9314480064	49956.5147187527	50336.2512451839	51040.4449683336	50635.0319241082	49910.8698693297	49723.8404706713	50213.999530453	50018.2489269094	49705.6639906622	50759.0689447072	49199.6318707392	49740.5127806324	49574.6173138348	50644.5620747321	50838.9751847744	50830.2006436581	49289.4128037698
Zo_NP_14	52298.3684413004	52578.4999899692	52968.7387613586	53854.6431942565	53233.7699021494	52826.4620008443	52466.3520020485	52501.7622811669	52341.260218469	52768.8699731409	51373.1142518901	53997.3947656677	54196.6410652202	52788.6577341898	52472.9935781712	52609.9708729471	52976.3872577862	52855.8997973747	53375.5642832466	53869.3725820765	53722.6755775913	53816.9716528254	53728.8732394555	54032.8709963071	53248.2713628938	53234.9906529093	53404.1749998325	53391.2389308289	53881.806128308	52881.5268938006	50146.5147696362	50366.4092792864	50689.8756107531	50084.6521523533	50146.0943197951	50391.5611468845	49887.9261624952	50175.6119652926	50504.469881242	51325.4663384068	50876.1540873509	50164.8474890832	49934.872692849	50427.3285974399	50228.6030722489	49944.6326734452	50937.6713166553	49397.2191099147	49948.5966612816	49739.1684002607	50908.1906989905	51117.0179896512	51118.3230447282	49450.5566117001
Zo_NP_15	50775.9100044668	51084.1712890424	51481.9931995549	52302.9341774966	51656.2485986617	51314.3968640671	50938.0779089165	50956.11813708	50830.2309520391	51252.2670416801	49855.5865975821	52413.9377619531	52642.3812687723	51275.4545221296	50953.1942546163	51094.6532592886	51495.2939266639	51347.0208851749	51848.4607774754	52215.4212516647	52077.6198289558	52200.9385236559	52134.6287467136	52391.2837186607	51620.6170326923	51642.9636245004	51787.2431586536	51797.0114607915	52265.4952064353	51275.6772708382	48508.7397807474	48739.6177481936	49067.7283505845	48480.7192025046	48550.2789956366	48752.6647515463	48316.3494293112	48581.9145604366	48965.9344700132	49694.1281505885	49261.2768376742	48508.8151790894	48367.1608040971	48863.7498811663	48595.958437904	48310.8824223988	49296.8556139585	47814.1384421461	48381.8393500651	48126.1497571762	49244.8783496332	49484.0063344793	49446.489777337	47860.805650336
SW_NP_1	53498.4869675365	53758.4825037146	54159.4098069711	54964.5426326632	54287.8222709621	54031.1679264806	53634.4408930463	53744.9826641476	53535.7651638778	53978.3915439805	52569.9431142314	55176.4334624127	55405.7764229129	53944.5312882374	53680.2901392613	53785.41355547	54191.5749391694	54086.0998001934	54596.8028638736	54990.5123244709	54809.6359277739	54967.9412546735	54822.4899778801	55106.0576805779	54412.1446724925	54394.592992948	54534.082993236	54550.8398399948	54972.3993132041	54028.4448047057	51174.0879896315	51370.3502735181	51716.3275957711	51063.9301152709	51137.8060441924	51409.5731648576	50969.8055587049	51189.7194592436	51584.9525441633	52323.982435029	51923.3114291378	51150.5921934968	50949.4011850169	51545.2778299158	51251.5859996275	50970.781658727	51990.5292528954	50423.9618047304	50951.2204806529	50761.253689958	51958.4174834695	52098.6424683426	52078.2957459039	50446.6927763423
SW_NP_3	50827.3424780545	51081.9127226817	51503.2267587429	52298.2541868627	51778.2531572662	51417.7930709217	51033.2602261138	51092.7094216806	50910.8751150449	51343.6417617856	49991.0101197813	52519.6910603049	52737.1347343913	51337.5170634442	51107.343580362	51152.0775243193	51501.1160555077	51458.4681294975	51891.7169927796	52185.0207658672	52030.1989638763	52161.7283220369	52104.9597933344	52315.2457846449	51618.1510988408	51668.5047658615	51791.8971127358	51745.1542161447	52238.3446621688	51242.6364852003	48822.0027654583	48981.5341714235	49354.4583914514	48753.763246739	48800.1599579487	49069.6597612161	48631.4651270194	48848.9242770988	49156.1614254406	49968.4952868375	49531.2627710622	48833.1094132293	48622.4289631913	49116.0291320057	48905.6627274714	48596.5673264493	49621.3552362004	48134.5653665322	48589.9172463579	48430.3530142989	49602.4828036984	49715.3532296247	49762.04890698	48138.6522996455
SW_NP_5	53016.6840307412	53294.5639456481	53690.0018787015	54532.6208582543	53860.7392865649	53550.6534746325	53165.6497328041	53197.8970881628	53017.3808354447	53489.8881356789	52092.5391882985	54689.2874547573	54926.6939111266	53475.2915521814	53192.1750239472	53318.9574539433	53666.8311319392	53593.3273310278	54096.3860183548	54557.5643144377	54390.6627464625	54532.2321053628	54468.0582458284	54668.1882120635	53953.805993574	53946.3903012625	54116.3834967415	54088.2097924669	54619.0845088422	53615.6448111591	50542.974460379	50751.0033944178	51061.7168620083	50425.4873787054	50463.2934741927	50752.43582531	50291.9479706851	50535.9496860233	50945.4610656069	51683.9943357585	51254.9817437253	50519.3294328933	50348.7740768629	50881.8667650631	50634.2895157019	50291.0051397021	51327.3647424472	49776.4025027883	50318.2188268412	50061.6707852864	51298.2927879083	51497.2244647922	51463.6499014891	49799.9889480381
Zo_PR_1	57780.8894236991	58081.9061259488	58480.6629296829	59264.0563488894	58621.5864113972	58320.0429152517	57939.5895491437	57984.7641969271	57789.7818406426	58289.3568148974	56764.2449307406	59538.8403045327	59817.5690521716	58249.5255136527	57939.1861825807	58053.8408563014	58450.1042380245	58379.6174283243	58903.1529538594	59439.0235651331	59188.9668233225	59385.6968158262	59279.0347375965	59520.8327792669	58766.0602701768	58698.6166584178	58860.1302804275	58827.4175915141	59368.4688816893	58273.2572880775	55178.6590211889	55402.3499085162	55751.8510019724	55149.1444526388	55209.4809611369	55480.1366681125	54989.8744303791	55209.5419095091	55590.433118125	56470.4501372275	55972.4687575291	55192.2190829598	54954.7279150193	55530.1174278417	55297.6960318012	54951.1709265127	56046.8325125376	54401.5418802142	54946.4852229291	54785.4697033503	56048.0338483637	56196.9806681857	56210.4936964371	54415.6646060919
Zo_PR_2	55927.1471603316	56218.6720199387	56654.7230128935	57515.094272459	56802.383968514	56529.2246465959	56122.4568371638	56158.6553262963	55973.5788167453	56457.251151678	54977.8924135363	57741.8673657627	58043.9025059632	56451.6840627836	56186.2178460664	56255.5427537204	56613.9500109065	56580.1237345584	57126.32306962	57508.4626333807	57352.3484503405	57497.8402485112	57423.2822131193	57646.6492208184	56886.3564952568	56887.5443973359	57038.377799801	56983.4831948458	57528.4326409373	56451.8114035691	53566.5231924021	53757.5524129746	54136.8611918847	53475.3258892583	53578.5731967064	53840.2131413776	53317.309513341	53577.8668052566	53983.2889425345	54773.339469829	54294.902639442	53562.1499123093	53341.0349598633	53951.0668173117	53671.6626684631	53288.840114313	54380.7648150309	52773.3530269152	53331.8380592554	53131.8406770851	54362.5795926159	54474.8437858897	54557.1261791297	52799.732057784
Zo_PR_3	59404.7766903614	59709.5794260507	60212.3926764381	60987.3206217278	60240.3664474224	60007.1355217708	59623.5789402309	59692.1580347596	59473.3448416041	59992.3405051276	58436.4379707879	61243.3152414558	61539.3136911829	59941.3840539687	59613.8674892112	59729.4851115361	60158.6068487262	60093.876411596	60631.5432908328	61174.1904605558	60909.923659336	61155.2809168244	61044.0647838183	61245.2386467602	60520.5627950392	60491.9692338016	60633.8007852174	60599.4893631438	61144.953246403	60024.14586112	56774.8012746643	57011.0882879108	57365.8311455593	56729.1756888604	56819.72746756	57068.3351032611	56567.8625076272	56806.2639593396	57289.6515818486	58103.1026362767	57658.6582390915	56778.9261085109	56575.3847595059	57209.535246191	56943.1175769094	56552.5105263223	57696.3813905413	55955.8449107454	56580.3160147583	56356.9417803066	57652.0665730064	57851.9715895616	57817.7716474653	55963.2098110631
Zo_PR_4	56711.376714252	56982.0811522285	57461.0514255956	58243.580419405	57617.2132870553	57303.2295178537	56921.8032993419	56975.6473365935	56778.2244512669	57282.0318524811	55769.6939590109	58468.2785533646	58788.5552804463	57212.15489623	56940.0564092469	57020.7049986775	57386.9784347799	57374.1310026638	57907.2710588441	58408.4219663139	58195.7451739282	58393.0017878831	58300.5047480044	58471.2607611259	57773.0965916688	57700.9777848122	57923.0916157075	57854.3724683678	58445.3239831407	57377.0154484826	54134.3287514342	54370.9780254026	54748.7071244694	54076.203080357	54125.3483638313	54413.2889367853	53888.7384340056	54169.7256439504	54590.0194765848	55471.8799550967	54940.9115054426	54119.1784502521	53951.6201251128	54464.8172478756	54254.9479411179	53925.7579503153	55030.0752752879	53396.7222739232	53922.3965894811	53695.0903684516	54955.5386547703	55156.8400771117	55117.3407233098	53351.9533399441
SW_PR_1	49767.7804051424	50045.5704599709	50453.1392876313	51215.8376803421	50688.8613619522	50345.4348661443	49988.471519956	50031.2641506037	49863.9791045941	50284.8937847427	48952.1061891364	51445.3926790371	51640.6247848052	50280.749276992	50024.0047622904	50094.4840256594	50436.0382803289	50373.6398714541	50835.1456080274	51109.0907050445	50978.6900365803	51082.987029349	51026.8869600223	51251.7966398022	50555.7801308129	50612.874169414	50740.079939485	50690.7831125722	51137.0822193722	50200.4427229605	47768.3476637701	47950.3995919702	48273.3837887838	47713.1273578301	47800.7640508721	48024.5812482472	47603.3225759654	47817.685043285	48136.0919972532	48898.6085928582	48479.6039585157	47810.693627426	47587.2121542103	48104.551611275	47858.993253275	47544.382410879	48545.4599424027	47096.7201219009	47538.9008613241	47418.0242647857	48535.6565673174	48641.3801251804	48729.0017045163	47118.2777888643
SW_PR_2	54470.4609586225	54760.1609875891	55158.9257066177	55928.9689446301	55217.7495281776	54966.3799943779	54613.0178725891	54643.29606216	54493.5194913892	54945.9593758854	53478.8567656323	56138.807717578	56399.802458128	54937.8400242338	54572.1262433602	54737.8494477711	55158.7508292627	55025.5347170655	55563.1210343115	56073.7511832196	55885.495965319	56043.542488711	55945.008257686	56212.0561032014	55464.5940388594	55421.8003046648	55580.6363519979	55600.6651456815	56064.7422555112	55022.9241490214	52074.8840072431	52310.0017428302	52615.2264800962	52066.6129087506	52121.8806673536	52330.7857724496	51865.4298461938	52095.5073199182	52485.9593303751	53304.258580366	52812.9011378784	52064.2129195074	51827.5362827173	52395.6979215077	52184.3664446501	51873.9453797572	52905.1109688963	51313.0850941905	51908.9476329343	51706.8456783418	52821.2365632072	53062.417013543	52986.1360894182	51393.1533065953
SW_PR_3	50981.6730391007	51262.7250168166	51673.9908633596	52506.1358703797	51850.728953115	51528.3256725986	51177.0890296167	51187.9005995509	51037.2245823643	51481.1543953398	50124.5718748558	52625.9541605185	52858.8425982752	51479.3432053908	51130.1495435157	51242.8211396349	51630.5493980684	51526.9595630079	52040.9320913049	52400.4566256762	52276.6582217017	52359.2224571097	52384.7985845175	52569.5399132801	51889.5658888621	51962.4768291927	52015.1936380991	51995.1563831601	52502.8815261059	51539.7886808698	48860.8713671477	49091.7581870147	49401.1251042979	48875.6951951387	48949.4120099788	49104.0439306582	48677.4507974937	48906.3364065238	49311.4859591038	50074.8735179752	49583.6978498324	48842.1182526354	48735.6095444736	49164.1981158277	48977.8004996163	48663.4727175818	49686.5109209431	48169.2821137923	48719.2347864941	48518.5902915553	49599.5144769303	49865.6765938429	49788.2202568571	48220.1316245717
SW_PR_4	51745.0939880491	52006.0767349407	52398.5827743092	53189.8200317025	52559.1534822519	52244.5864844779	51887.244457893	51926.8602130758	51766.7669704585	52218.3651150697	50811.7188235499	53365.0353564914	53601.4464783644	52218.2558681285	51924.3334299306	52054.096626155	52409.6758187054	52309.2872956386	52841.5433356694	53295.4162485251	53124.3608796036	53250.8075426744	53163.8597143078	53411.2076217164	52698.1223077619	52625.7064189813	52825.9352851504	52826.289018187	53288.1972576159	52322.2918237948	49353.1760819177	49569.5327970566	49876.9745304456	49321.312891567	49381.1596213051	49616.8956160873	49142.6983271661	49407.3964334305	49762.0896242059	50501.644863921	50088.2505807077	49352.2232721391	49177.5808226932	49686.9168328348	49444.8025343963	49146.870491427	50164.1156276123	48663.8772077283	49192.7239202895	48935.1128054805	50128.6854282952	50336.0324283243	50286.5173853116	48693.0093780596
SW_PR_5	50976.4602618189	51229.8402114624	51604.320091922	52419.8473128529	51798.1620719993	51456.4662174254	51091.8121172073	51151.3075534111	50980.7570495261	51419.806839504	50090.8591549003	52577.3463195232	52750.7251600306	51401.0833206236	51063.1931753153	51213.9632636803	51540.3877185114	51452.529241691	51953.8069758871	52331.7524958637	52232.2261561192	52319.1489222428	52293.6048522459	52512.7289111485	51875.7882948373	51878.1043940138	51930.6837014781	51965.6914174535	52354.5869515201	51473.2128625955	48634.823398209	48872.1269778614	49174.0327215389	48597.6279958825	48686.8078406534	48894.8404103896	48485.4029539023	48682.0916442303	49042.7178317444	49787.3851200111	49330.5631295963	48620.2561003277	48469.6756321742	48948.7572867607	48715.9429237715	48456.0966497094	49438.0367662078	47955.3986018223	48444.3334416013	48283.1832056459	49372.0956373131	49608.5411059833	49555.2078348323	48018.1977051406
SW_PR_6	51054.7990386753	51325.8441051405	51726.8368079724	52557.8905459022	51911.0351740102	51571.6904445634	51220.9088389465	51255.2809837413	51072.162636711	51519.9953685228	50178.7936350066	52651.1101366696	52895.1930718859	51524.1912865164	51209.9295205634	51348.9424181446	51711.616955036	51603.6805650067	52106.2037325185	52563.6442858198	52429.5901693091	52544.2786142683	52509.8788248007	52729.0502640974	52009.1774365257	52026.1010110444	52138.471480687	52145.2086595268	52561.9709722875	51664.4591437963	48808.2421438771	48999.4879561711	49334.6796977399	48757.2896912201	48810.0734261624	49045.5495472786	48591.4676792237	48836.4126739143	49224.9863230722	49960.1569686001	49521.9569027122	48787.4136899885	48616.3359553563	49103.8409680314	48871.6191227717	48581.4577767405	49555.314971622	48097.7213640899	48638.816698858	48424.0507257952	49516.9577461119	49755.7628510858	49699.8056824247	48146.7113741552
SW_PR_7	52118.4781980002	52396.8458958517	52757.0677548824	53570.3719232268	52889.495770189	52588.161855965	52225.3853262693	52255.9995216788	52092.9558325034	52537.7567561723	51141.8376620743	53665.7355720998	53892.1441693922	52539.4248698695	52204.9742547912	52394.8918702946	52736.6319120402	52601.4708489912	53135.13387348	53694.0116982672	53524.2524156309	53720.7904957609	53588.0238235454	53834.3136066678	53130.9552507223	53072.8786798104	53221.7783191635	53257.2900568947	53731.7417582186	52773.7745195298	49589.8458195858	49811.512804331	50107.5395726822	49494.1900319515	49533.6659915262	49768.0556267556	49378.8496603685	49589.6910152664	50015.6399439251	50712.7196723534	50288.8009605894	49508.8229319814	49395.6956286584	49844.5388510943	49640.044060958	49380.83866303	50325.2403819585	48824.9644878658	49446.4044333012	49149.0706783212	50309.2988585554	50550.9999486501	50443.7930635461	48876.1925392615
