	Zo_NP_1	Zo_NP_3	Zo_NP_4	Zo_NP_5	Zo_NP_6	Zo_NP_8	Zo_NP_9	Zo_NP_10	Zo_NP_11	Zo_NP_12	Zo_NP_13	Zo_NP_14	Zo_NP_15	SW_NP_1	SW_NP_3	SW_NP_5	Zo_PR_1	Zo_PR_2	Zo_PR_3	Zo_PR_4	SW_PR_1	SW_PR_2	SW_PR_3	SW_PR_4	SW_PR_5	SW_PR_6	SW_PR_7
PR_Hols_4	56339.7334424333	56609.0074299562	53890.0808184261	54021.3958699051	58788.0998530193	53961.4099639881	55559.5887616047	61355.1123294132	53538.7374506998	56852.2720347475	60488.4204122303	58008.5204582542	59668.9808867477	61752.5479026483	59729.4528141692	57650.5693283176	63420.1301037387	64693.8448377533	65450.4178074229	62813.4480490257	58959.6907197037	60985.8039864432	58230.4173447713	57164.5876594588	58469.7250374626	58512.3202613584	59332.2174090052
PR_Hols_5	56083.7229072401	56307.8489494097	53685.0171201947	53773.2868060417	58489.2202160253	53711.2430538081	55315.5807762052	61068.471161603	53299.4885328929	56616.3757870554	60280.709041661	57769.172075579	59420.5955191913	61494.7468351947	59410.0782658757	57385.5543267196	63180.8450631634	64390.3540996327	65236.1360344156	62567.1737264969	58644.820856796	60746.8674059007	57965.9355150716	56908.0671278407	58245.0881898119	58263.4622158622	59077.7663707534
PR_Hols_6	56434.8485262516	56709.0943378629	53994.9887944176	54174.1173691222	58845.8943995463	54086.9896172013	55693.3092055014	61498.9541874981	53684.6818325929	56968.3654705143	60628.3677555165	58120.374339975	59780.8203045049	61856.7269075689	59829.4891355068	57801.2082519584	63557.6416020152	64773.673835945	65565.7840446218	62913.0295611224	59035.2526710906	61088.3778790563	58353.895534007	57306.3034182488	58577.716014286	58642.1193434949	59439.740943055
PR_Hols_7	56835.5270664166	57080.9224402928	54396.8938539927	54516.0393779872	59275.1401432199	54452.3504107882	56033.0247134538	61892.325138363	54028.1353346442	57395.7734729478	61062.1254932654	58511.2791422079	60182.4352282842	62267.8205318265	60252.6535326717	58142.9671875909	64002.1485115866	65234.5959703312	66036.7597812633	63387.5116500492	59479.5204442173	61529.8882549396	58797.1850594417	57702.7524185221	58994.2767328201	59046.5522887209	59856.5546604613
PR_Hols_8	56674.9769942164	56965.9572894291	54212.5058440886	54385.0937359738	59129.3644942062	54292.6728651739	55859.075437764	61778.7081499838	53856.7041661107	57229.2160466967	60839.2203621821	58364.4102530916	60004.4153467192	62103.6383334556	60096.9969083403	57957.6733171915	63845.1898846622	65054.4783534614	65840.1420535107	63205.6299154693	59320.6338748252	61385.9062868694	58608.1452480223	57541.4904785159	58821.2867713931	58920.7138671182	59689.7311853068
PR_Jap_1	57842.2635592637	57965.3506331853	55275.9218309206	55169.676980931	60161.7646647764	55086.6231504718	56800.3007916099	62705.6927479234	54815.3344258157	58150.0592285857	62113.6002083076	59549.2806801298	61285.8139159436	63362.2238990919	60972.0696140378	59042.2218138755	64941.5815481956	66364.6273152985	67321.6227502707	64506.3347741342	60192.5512013805	62417.6760003977	59493.2514329667	58496.5995941087	60031.0770570709	59954.5615482829	60933.3636099731
PR_Jap_2	57921.0397022492	57955.6814677172	55278.3005961959	55187.6415928199	60139.7705060753	55035.8871546699	56788.1592765028	62705.9946089457	54855.0291041407	58153.543010468	62176.5910208016	59552.9584237859	61324.4590008709	63418.0829074252	61068.1976066691	59100.6883187244	64942.6982787682	66411.3297366043	67308.9815401901	64582.7555127083	60237.7005287449	62364.5394992328	59512.1534509	58569.4812302288	60047.0672797934	60004.9472780873	60984.9676093344
PR_Jap_3	58170.6433783934	58282.432308452	55569.0875311575	55499.1931369244	60421.3845553425	55378.4381234098	57057.6365798697	63008.4739847282	55141.3853180637	58463.0350785025	62426.4759630969	59861.1954275078	61551.1806272534	63663.6496179986	61334.6743249432	59349.347181789	65269.0312410672	66720.8525167601	67594.5985667742	64821.0870797929	60515.8555597518	62745.5462604883	59784.7225437455	58834.3813200004	60315.2247202091	60260.7575107589	61223.7090110705
PR_Jap_4	59143.5780058096	59231.5880857075	56496.8719867187	56405.5734892717	61460.3097768364	56280.7580807337	58044.9939774406	64001.519224996	56044.1251298281	59438.9016317108	63472.4427621226	60839.9340974006	62590.7129500374	64634.7924699981	62268.4426041431	60281.408738205	66263.1226244515	67778.523574051	68700.831179721	65832.5877426272	61432.4640880176	63782.4664828811	60798.3199568801	59781.9960508061	61264.755635136	61273.6475647835	62259.1269213858
PR_Jap_5	57936.6512473837	57991.7425629225	55324.5990052818	55201.2911947673	60174.3078226124	55118.1106065293	56813.5390404154	62748.6460545298	54882.3493922638	58202.0306131578	62176.3228137106	59599.0589064965	61282.5022374811	63405.7051442867	61045.012347299	59088.5015615475	64972.6638794855	66385.1014221864	67350.7445210111	64561.9650533206	60247.6241189103	62449.9515448834	59527.1183615507	58566.1991068267	60054.6371446502	60023.5879849837	60963.9418266707
