	Zo_IVT_NP_3	Zo_IVT_NP_6	Zo_IVT_NP_10	Zo_IVT_NP_13	Zo_IVT_NP_15	Zo_IVT_NP_18	Zo_IVT_NP_20	Zo_IVT_NP_21	Zo_IVT_NP_23	Zo_IVT_NP_26	Zo_IVT_NP_28	Zo_IVT_PR_1	Zo_IVT_PR_2	Zo_IVT_PR_3	Zo_IVT_PR_5	Zo_IVT_PR_7	SW_IVT_NP_1	SW_IVT_NP_2	SW_IVT_NP_3	SW_IVT_NP_4	SW_IVT_NP_5	SW_IVT_NP_6	SW_IVT_PR_1	SW_IVT_PR_2	SW_IVT_PR_3	SW_IVT_PR_4
nonPR_Hols_11	57273.3064456706	63058.8355779891	62749.2850636095	58743.471597129	55652.7693608894	63001.7566026067	60345.9538997681	64711.6899589787	61229.3529835168	61842.8727805675	66664.9087612527	57937.5512927046	55508.8835820255	58523.4932639942	61243.3455905003	61168.3223944742	64540.2583423675	65535.9343043405	65460.4006962082	62299.2538974488	63487.4041806558	63908.1157620108	66395.2034540332	64083.9990696698	62629.5629076176	66848.6228351458
PR_Hols_1	60541.2739613425	66661.3331994061	66347.5380986573	62108.101330065	58766.3224272802	66703.3344305452	63773.6886962872	68433.5466274278	64745.8981328179	65364.1458712704	70488.7435139777	61229.9926088616	58547.5541934247	61841.278081429	64716.2991021269	64669.075846236	68145.5806609652	69369.020067456	69162.3094312691	65803.3941677323	66983.8242982617	67519.4571234102	70146.8632401098	67755.0966494814	66149.4987599194	70705.0988084813
PR_Hols_2	59468.7868321011	65422.4791793166	65051.7001784653	60928.3254120019	57647.9449183046	65414.5219943508	62557.3592980579	67127.9680847149	63568.4529779133	64177.7230835639	69129.9669063359	60040.2416545979	57521.6945652416	60661.2403434094	63501.3660123705	63456.860838452	66854.6227480046	67985.827270385	67881.8235773097	64589.8095901956	65755.8245770256	66270.4771621862	68849.6944507692	66467.5973160177	64947.1857998289	69333.5556908355
PR_Hols_3	58779.3371071765	64698.5256091398	64393.5306817719	60261.0046621576	56964.1192976248	64681.9038145553	61885.0366395659	66378.1159303807	62836.7707624285	63409.1410059425	68426.0373783847	59453.8791618305	56952.1074296097	60003.7958136997	62787.2615045741	62745.1206639901	66126.7511859248	67283.1518656803	67158.2990611418	63909.4575598043	65106.0493415215	65539.0394788816	68059.1574715632	65761.6606395969	64249.1070256488	68614.1507497132
PR_Hols_4	59087.9651486111	64995.3335844494	64626.753524308	60583.8712307396	57328.5534953465	64997.3284958108	62185.4539119612	66704.2968576973	63143.0650476211	63794.2371916972	68666.4940588398	59707.2545262493	57153.2867836915	60282.2243417483	63134.0323286933	63049.8635007553	66439.2581006312	67591.4559285969	67426.8967598283	64182.7153340441	65313.5347304066	65813.239784727	68392.4367749705	66034.9118680343	64520.5411424866	68924.1712794669
PR_Hols_5	58877.0226521944	64754.660359263	64451.606788955	60395.3591161335	57152.1891708553	64745.1558768653	61990.0702604797	66456.5973269248	62917.7286200357	63536.0397044256	68430.1140687044	59545.1770837237	56995.8021864272	60125.8169011337	62943.1500445733	62886.1952507364	66163.86858711	67299.862179917	67193.2512883314	63948.4571668284	65104.0334727341	65589.0211309498	68153.9100602431	65785.1440742193	64230.5449989737	68644.1420091129
PR_Hols_6	59098.0370062149	65063.0432499096	64732.4876326618	60622.1448481035	57336.9706833417	65032.292328152	62241.6939635736	66767.4771408632	63189.2602539923	63809.7290758966	68788.561045545	59757.5490540293	57197.6888380256	60316.0359956582	63168.5512287812	63110.7821656426	66501.4185481855	67667.244413726	67519.4321686575	64243.5909129274	65397.647040276	65881.4309712098	68444.4292899245	66119.9721702847	64576.6216768838	69007.6686701291
PR_Hols_7	59482.063899389	65558.8799793007	65202.6076528953	61000.2821632864	57685.2604465705	65544.163060538	62667.4337282971	67232.222878123	63616.2465486751	64256.7964230972	69295.983219579	60117.1137097202	57611.037968509	60768.9427990788	63536.1778614745	63583.8728265903	67003.3351890115	68150.5201571402	68006.0508726004	64720.9821360981	65893.2846157719	66380.7982069182	68956.1164014964	66601.8145921782	65058.1935252954	69482.290855142
PR_Hols_8	59386.0822317928	65368.630075279	65009.6790641804	60877.1141814629	57602.7217007757	65374.0712298235	62512.4290684764	67067.3862076284	63472.1060130651	64101.9023005372	69092.2394537625	60021.9017647135	57470.047640154	60605.0072735906	63434.3715733071	63421.3274328358	66776.9090753558	67971.6185301472	67824.6519951983	64539.1959790412	65716.1344770561	66169.8338453759	68756.1989122155	66420.1868260464	64874.5855882705	69291.2137749943
PR_Jap_1	60925.7412474411	67054.5037416492	66654.0443079538	62657.6612669049	59386.4393624212	67032.9330749011	64252.5091055076	68909.994859588	65120.6048270049	65801.5796858948	70778.6527311553	61770.276038398	59092.4180119186	62366.1993881353	65398.4623808753	65209.1548512238	68494.3942333439	69579.692252539	69522.5452123178	66241.4933618516	67449.0771768872	67906.3981505224	70614.574628282	67844.4484979597	66455.2832964673	71013.5135013716
PR_Jap_2	60960.6359960966	67044.5415014842	66657.8885858329	62671.734332477	59341.9482229301	67073.845757726	64254.8938864031	68929.880354354	65077.0127386882	65821.1768504167	70829.972214909	61768.9168093873	59098.9691531749	62373.4432904475	65382.1105227376	65148.6352155541	68537.5544728146	69623.7222404767	69548.9888114126	66273.4521596732	67472.533529083	67983.4418116855	70604.6592875367	67902.3344528748	66516.875849585	71039.1547102679
