"Sample","ENSBTAG00000025644-ENSBTAG00000010986","ENSBTAG00000014583-ENSBTAG00000010986","ENSBTAG00000014906-ENSBTAG00000008008","ENSBTAG00000014906-ENSBTAG00000015910","ENSBTAG00000020645-ENSBTAG00000011461","ENSBTAG00000014583-ENSBTAG00000011050","ENSBTAG00000014906-ENSBTAG00000011578","ENSBTAG00000005947-ENSBTAG00000019712","ENSBTAG00000015362-ENSBTAG00000006420","ENSBTAG00000014906-ENSBTAG00000020755","ENSBTAG00000015362-ENSBTAG00000011909","ENSBTAG00000015362-ENSBTAG00000000231","ENSBTAG00000007273-ENSBTAG00000011738","ENSBTAG00000015362-ENSBTAG00000008997","ENSBTAG00000013472-ENSBTAG00000017866"
"Zo_NP_13.NP_Hols_8",74.5729269794489,69.9922273550917,54.0200997198101,99.9102596669063,63.0169270663168,100.277197858509,62.222048254183,116.639890848746,64.909595581374,51.7455077246098,74.9703838899174,76.1377822907049,7.77582044955637,59.3604499211539,57.2453432521266
"Zo_NP_14.NP_Hols_8",75.3190871599264,69.2088030980707,52.170976505623,96.4903033646451,63.3140395760598,99.1547933830821,60.0921700337085,120.652565971921,15.1613395399973,49.9742444344684,17.5113006854898,17.7839772192791,7.77582044955637,13.865190938886,62.7685059141312
"Zo_NP_15.NP_Hols_8",75.0016864674972,67.6236242252877,58.0806466476811,107.4202476169,62.9785425260988,96.8837227017511,66.8991137945065,121.957036882263,15.1613395399973,55.6350796341788,17.5113006854898,17.7839772192791,7.77582044955637,13.865190938886,63.9303100314228
"Zo_NP_4.NP_Hols_10",76.5372447584051,69.3873273354489,56.0077240015353,98.9295444222459,60.8508007392157,98.0116176377993,61.3171730731479,126.739236915247,41.2690518752276,46.5801219937772,52.7992440504426,50.797072121135,7.79027569704423,38.863280840165,67.752814046948
"Zo_NP_5.NP_Hols_10",76.6478986531511,70.2884336440199,63.9166478651088,112.899514611931,60.9109174801549,99.2844565027364,69.9758511753289,126.688717943389,14.3837324033832,53.1577618634968,18.402414473165,17.70458634414,7.79027569704423,13.5452356311101,65.5373031241014
"Zo_NP_9.NP_Hols_10",75.5448900540602,68.7767376210412,57.8034526543966,102.101439383174,60.5803822007958,97.1491419103111,63.2831341358915,126.804486401147,14.3837324033832,48.0735813551272,18.402414473165,17.70458634414,7.79027569704423,13.5452356311101,67.3470600578828
"Zo_NP_12.NP_Hols_10",76.8225536525017,68.8008906792238,33.3883228189892,58.9756435275773,59.8279223988063,97.1832588073625,36.5534862451824,127.337904088419,46.6597037659298,27.7681726547842,59.695994322988,57.4322944107051,7.79027569704423,43.9396857688104,63.5746946795347
"Zo_NP_13.NP_Hols_10",75.2867881806519,70.6622390807726,56.0262840724953,98.9623281033766,59.8805866795981,99.812467552374,61.3374926112758,121.391496014814,61.5804593513161,46.5955579070364,78.7854712984138,75.7978895269731,7.79027569704423,57.990638924107,55.4659456159261
"Zo_NP_14.NP_Hols_10",76.0400910981025,69.8713153704806,54.1084886033932,95.5748197652746,60.1629119566548,98.6952648116048,59.2378929793642,125.567637064666,14.3837324033832,45.0005788483008,18.402414473165,17.70458634414,7.79027569704423,13.5452356311101,60.8174278926488
"Zo_NP_15.NP_Hols_10",75.7196520370757,68.2709621208817,60.2376305315092,106.401062564057,59.8441125305927,96.4347193084353,65.9480684613365,126.92524872018,14.3837324033832,50.0980218138638,18.402414473165,17.70458634414,7.79027569704423,13.5452356311101,61.9431188279314
"Zo_PR_2.PR_Hols_1",65.4917061413719,60.8390571690281,74.1297939605396,122.873504888261,58.6312210146617,93.4084019148487,88.608006868894,106.123038966777,68.2947746965051,68.1156874006805,79.667619190913,75.4120498219327,7.80845840813434,65.332837248842,61.1760663242877
"Zo_PR_4.PR_Hols_1",64.0364149370326,58.4887023382588,74.3546773414645,123.246259319766,59.7993467860727,89.7998172508055,88.8768119889015,112.01057851665,54.3780493017391,68.3223261252511,63.4333994565083,60.0450060987186,34.4512659800549,52.0196788221022,64.1195394997397
"SW_PR_2.PR_Hols_1",64.7593839918906,61.3125182661369,71.0552269088917,117.777270169855,57.1643275787888,94.1353238381606,84.9329493262235,120.670813211369,69.966492750463,65.2905581646008,81.6177214924307,77.2579843862318,25.3030064457835,66.9320530604547,56.3237941076116
"SW_PR_3.PR_Hols_1",66.9711820210965,60.0109975732922,72.7134596219725,120.525866307666,62.0157452825003,92.1370521088672,86.9150497447017,119.674798623226,54.1539484178905,66.8142594335119,63.1719799854852,59.7975507539571,34.1947441113696,51.8052971708431,65.8904896389581
"SW_PR_4.PR_Hols_1",66.6848403945295,59.5618225322015,67.4698688502559,111.83437612676,61.0540554623692,91.447417444547,80.6473387165925,119.016984560501,59.4971316506922,61.9960780953381,69.4049412764447,65.697568756072,7.80845840813434,56.9167470890934,64.1666372266754
"SW_PR_5.PR_Hols_1",67.1142924349668,60.1132960629385,63.9643233272896,106.023774991386,62.0145717821747,92.2941146749359,76.4571287459084,120.149517487282,54.7018697210369,58.7749354176945,63.8111443420504,60.4025731556709,33.6363683267368,52.3294551826781,66.9872846126764
"SW_PR_6.PR_Hols_1",67.2771734796355,58.4094509721454,64.1333621442295,106.303964518293,62.2311719258525,89.678139765935,76.6591823582588,119.652393758974,54.7856522148014,58.9302602148926,63.9088787856847,60.4950869625038,7.80845840813434,52.4096040381907,66.6583912083612
"Zo_PR_2.PR_Hols_5",64.2090146897424,59.6474904325095,73.5402389116224,125.362457233939,51.8369392665934,94.7752245639809,74.0548143387842,99.7601503026122,66.862397118754,64.415762019641,76.7261950101558,77.6091138632058,7.61618253667856,57.6870175697025,55.1984027856465
"Zo_PR_4.PR_Hols_5",62.7822261721923,57.3431686069457,73.7633337925993,125.742762259997,52.8697007138304,91.1138363496251,74.2794702582534,105.294686781461,53.2375535773182,64.611176488964,61.0913621655246,61.794364776397,33.6029362787442,45.9318813103296,57.8542619751877
"SW_PR_2.PR_Hols_5",63.4910354764331,60.1116785309789,70.490123924815,120.162992080559,50.5400318403112,95.5127833607277,70.9833571011837,113.435674103465,68.4990534645878,61.7440888780994,78.6042971926429,79.5088281147477,24.6799439460529,59.0990791685409,50.8202579925192
"SW_PR_3.PR_Hols_5",65.6595142123735,58.8356488440217,72.135168695288,122.967264377446,54.8292593288754,93.485271402475,72.6399125714858,112.49937821537,53.0181528639087,63.1850253506311,60.8395946153346,61.5397000368361,33.3527310174186,45.7425884737778,59.4521682312012
"SW_PR_4.PR_Hols_5",65.3787807456528,58.3952711456701,66.9332802573937,114.099717487709,53.9790116973794,92.7855454802005,67.4016255033369,111.88100514193,58.2492710684489,58.628559222328,66.8424274896909,67.6116098974261,7.61618253667856,50.2558518441971,57.8967576676682
"SW_PR_5.PR_Hols_5",65.7998217292768,58.9359437609118,63.4556143756871,108.171415556391,54.8282218156862,93.6446322272466,63.8996257136489,112.945634049078,53.5545823627043,55.5823833989254,61.4551602562237,62.1623492364703,32.8081047061106,46.2054049334834,60.4417926770041
"SW_PR_6.PR_Hols_5",65.9595126581898,57.2654694228693,63.6233088250972,108.457280663082,55.0197219805924,90.9903783874228,64.0684935539021,112.478316694261,53.6366076478681,55.7292712239459,61.5492862268207,62.2575583520608,7.61618253667856,46.2761740693551,60.1450362541785
"Zo_PR_2.PR_Hols_7",65.0110912014471,60.3925859816192,70.3557737574012,127.994466896655,55.5152879448427,93.4828312703188,80.7639145293996,94.1307849279046,68.774692971681,69.1737732450392,78.8125095221584,77.0034725769229,8.1257009903626,63.9708903923574,60.3587018596505
"Zo_PR_4.PR_Hols_7",63.5664797417038,58.0594793752793,70.5692081057898,128.382756502191,56.6213341337744,89.8713712264896,81.0089234682585,99.3530130559285,54.7601725277735,69.3836218250441,62.7525392306335,61.3121376679394,35.850954370424,50.9352618423642,63.2628477209945
"SW_PR_2.PR_Hols_7",64.2841432433958,60.8625725551563,67.4377359168691,122.685837940757,54.1263519809043,94.2103324170101,77.4141942980662,107.034612616312,70.4581584550521,66.3047594154504,80.7416804672477,78.8883619538386,26.3310187221422,65.5367684975551,55.571260141582
"SW_PR_3.PR_Hols_7",66.4797098558382,59.5706031524895,69.0115463831539,125.548986490911,58.719943008028,92.2104684318402,79.2208277439975,106.151150967509,54.5344968512688,67.8521293399266,62.4939256965713,61.0594602655966,35.5840105137142,50.7253492518151,65.0101364547088
"SW_PR_4.PR_Hols_7",66.1954695650244,59.124724410245,64.0349119383358,116.49526369482,57.8093618133288,91.5202842552436,73.5079706822404,105.567672067321,59.9152274849138,62.9591040169965,68.6599857104624,67.0839865250203,8.1257009903626,55.7302444352432,63.3093161820967
"SW_PR_5.PR_Hols_7",66.6217700450768,59.6721509183365,60.707837161339,110.442495888223,58.7188318729135,92.3676561479524,69.6887022900137,106.572225031433,55.0862684848088,59.6879252081776,63.1262296043523,61.6772504732464,35.0029489995158,51.2385805170617,66.0922773113782
"SW_PR_6.PR_Hols_7",66.7834557771157,57.9808096002224,60.868270047031,110.734362789547,58.9239208875556,89.749596786992,69.872868950058,106.131277926944,55.1706397315207,59.8456627677725,63.2229150186749,61.7717166017268,8.1257009903626,51.3170585667987,65.7677782036808
"Zo_PR_2.PR_Jap_1",64.6090312194204,60.0190890661609,72.8862544656275,129.861040477848,51.6342931118736,93.1096821277772,81.8326706851086,99.57139100131,69.4198136730436,65.0260404950533,79.8341617357132,80.9811095628234,7.80146235861624,57.6732240152166,56.925604589111
"Zo_PR_4.PR_Jap_1",63.173353934551,57.7004115177383,73.1073653908232,130.254992602531,52.6630171846247,89.5126377065855,82.0809218493243,105.095455410544,55.2738341579664,65.2233063318162,63.5660048974403,64.47923414179,34.4203990982506,45.9208985288619,59.6645677191728
"SW_PR_2.PR_Jap_1",63.8865790585869,60.4861690157694,69.8632637823223,124.474994530406,50.3424556859942,93.8342793569748,78.4386233042307,113.221038915751,71.1190704073301,62.3290557750953,81.7883406621283,82.9633634539493,25.2803360188184,59.0849479757194,52.4104641729059
"SW_PR_3.PR_Jap_1",66.0685672268527,59.2021897757843,71.4936793687082,127.379897052996,54.6149152968718,91.8423980946336,80.269164093283,112.286514622398,55.0460415974101,63.7836437590901,63.3040389375876,64.2135046140374,34.1641070623444,45.7316509541587,61.3124737293072
"SW_PR_4.PR_Jap_1",65.7860848152577,58.759068562998,66.3380506952439,118.194141676182,53.7679915385735,91.154968879886,74.4807082794469,111.669311591996,60.4772445860775,59.1840094198576,69.5500300296832,70.5492295463271,7.80146235861624,50.243835157257,59.7083931355762
"SW_PR_5.PR_Jap_1",66.2097488472797,59.3031095212097,62.8913112754127,112.053104925193,54.613881839633,91.9989583750905,70.6108991645685,112.731926081482,55.6029889618453,56.1089739590144,63.9445394462755,64.8632069562604,33.6062315588727,46.1943567497266,62.3330643089343
"SW_PR_6.PR_Jap_1",66.3704346366732,57.6222282745602,63.0575144383759,112.349228190566,54.8046333729148,89.391349345944,70.7975029186138,112.265492952452,55.688151628126,56.2572534073752,64.0424782005585,64.9625527603447,7.80146235861624,46.2651089639759,62.0270221422679
"Zo_NP_4.NP_Jap_1",78.7168440979836,71.363313971927,54.6623415648326,98.9725252208257,64.7999027694336,99.2624755813922,56.1684492,126.600820009754,42.6394253448464,48.0241260831217,51.2817615345656,49.9906495649711,7.97611488933124,40.5800801178353,67.1418376416414
"Zo_NP_5.NP_Jap_1",78.8306491534054,72.2900816525692,62.3812822171802,112.94856478522,64.8639209733085,100.551558853304,64.1000692787882,126.550356211652,14.8613562979007,54.8056756564566,17.8735178437688,17.4235194011198,7.97611488933124,14.1436012411316,64.9463055922719
"Zo_NP_9.NP_Jap_1",77.696229483512,70.7353361095336,56.4149343496737,102.14579823903,64.5119345786491,98.3889926423011,57.9693310500188,126.665998234125,14.8613562979007,49.5638833357772,17.8735178437688,17.4235194011198,7.97611488933124,14.1436012411316,66.739742631427
"Zo_NP_12.NP_Jap_1",79.0102779132099,70.7601769895711,32.5862894581907,59.0012660073974,63.7106415567907,98.4235449509161,33.4841371893667,127.198833354959,48.20907835138,28.6289981131737,57.9802949927763,56.5205352141398,7.97611488933124,45.8807370428704,63.0013954155831
"Zo_NP_13.NP_Jap_1",77.4307774804433,72.6745321822522,54.6804557974027,99.005323145111,63.7667236499312,101.086308561395,56.1870625327403,121.258919587494,63.6252901363102,48.0400405164216,76.5211287429361,74.5945696254165,7.97611488933124,60.552396060001,54.9657688403037
"Zo_NP_14.NP_Jap_1",78.2055326796759,71.8610848391582,52.8087284088612,95.616343074632,64.0673713042001,99.9548476953485,54.2637635717024,125.430499709451,14.8613562979007,46.3956164115022,17.8735178437688,17.4235194011198,7.97611488933124,14.1436012411316,60.2689929088548
"Zo_NP_15.NP_Jap_1",77.8759682736228,70.2151573218034,58.7906399317224,106.447289428493,63.7278823975494,97.6654523336863,60.4104942801228,126.786628663879,14.8613562979007,51.6510823313299,17.8735178437688,17.4235194011198,7.97611488933124,14.1436012411316,61.3845326701854
"Zo_NP_4.NP_Sim_1",70.8786335125173,64.2573293583614,53.0475690474193,96.6724753436082,60.4061238107224,95.1488794761497,65.4139973078365,118.870703083253,41.5753487776359,46.2292731121491,50.0317870518686,50.3611855499382,7.19535423347468,39.4352232283789,76.6903472622342
"Zo_NP_5.NP_Sim_1",70.9811064572541,65.0918143728485,60.5384855633663,110.323721860514,60.4658012389921,96.3845410708803,74.6511933114718,118.823320553185,14.4904877679975,52.7573691530151,17.4378572784491,17.5526643708105,7.19535423347468,13.7445778957953,74.182579807459
"Zo_NP_9.NP_Sim_1",69.9596463497875,63.6918822387188,54.7483887361551,99.7720037928055,60.1376813988877,94.3115950702423,67.5113114079534,118.93190159173,14.4904877679975,47.7114835002406,17.4378572784491,17.5526643708105,7.19535423347468,13.7445778957953,76.2310687103074
"Zo_NP_12.NP_Sim_1",71.1428487270362,63.7142495941748,31.6236624803626,57.6301192741681,59.3907203168739,94.3447154758012,38.9957581374788,119.432202343622,47.006009825347,27.5590183652765,56.567046167629,56.9394714025807,7.19535423347468,44.5863364959926,71.9610761655686
"Zo_NP_13.NP_Sim_1",69.7206266652934,65.4379833346424,53.0651481700016,96.7045110678632,59.442999745037,96.8971298938677,65.4356744685042,113.854973651596,62.037506535371,46.2445927596564,74.655953767397,75.1474724696459,7.19535423347468,58.8440744499626,62.7826709539482
"Zo_NP_14.NP_Sim_1",70.418235804196,64.7055348126829,51.2487132160793,93.3942884422165,59.7232618851175,95.8125585798353,63.1957929184276,117.771841346662,14.4904877679975,44.6616273366742,17.4378572784491,17.5526643708105,7.19535423347468,13.7445778957953,68.8400877556351
"Zo_NP_15.NP_Sim_1",70.1214876936348,63.2235001271263,57.053913934899,103.973531439254,59.4067921366909,93.6180394318473,70.3542997267766,119.045166450497,14.4904877679975,49.7206755517066,17.4378572784491,17.5526643708105,7.19535423347468,13.7445778957953,70.1142728939372
"Zo_NP_4.NP_Sim_2",76.5447024995245,69.3940883930996,56.6050796461515,98.9926575318754,63.6795549592789,97.5126912998752,60.4678126796244,125.743571259129,43.3950921786811,56.9161028580749,49.5724403377509,49.7930346224704,6.85384806395589,35.5009397259063,78.1847177433475
"Zo_NP_5.NP_Sim_2",76.6553671763167,70.2952825049041,64.5983568805676,112.97154000621,63.7424663304048,98.7790508019678,69.006551491201,125.693449165195,15.12473306645,64.9533000865054,17.2777586108998,17.3546435650469,6.85384806395589,12.3733401637121,75.6280845083053
"Zo_NP_9.NP_Sim_2",75.5522511007597,68.7834391832131,58.4199608117441,102.166576035473,63.3965655496059,96.6546059892237,62.4065414128555,125.80830814393,15.12473306645,58.7409560999,17.2777586108998,17.3546435650469,6.85384806395589,12.3733401637121,77.7164897951132
