	Zo_IVT_NP_3	Zo_IVT_NP_6	Zo_IVT_NP_10	Zo_IVT_NP_13	Zo_IVT_NP_15	Zo_IVT_NP_18	Zo_IVT_NP_20	Zo_IVT_NP_21	Zo_IVT_NP_23	Zo_IVT_NP_26	Zo_IVT_NP_28	Zo_IVT_PR_1	Zo_IVT_PR_2	Zo_IVT_PR_3	Zo_IVT_PR_5	Zo_IVT_PR_7	SW_IVT_NP_1	SW_IVT_NP_2	SW_IVT_NP_3	SW_IVT_NP_4	SW_IVT_NP_5	SW_IVT_NP_6	SW_IVT_PR_1	SW_IVT_PR_2	SW_IVT_PR_3	SW_IVT_PR_4
ENSBTAG00000005441	10.6923029	10.37975852	9.455106782	10.12308403	9.21116323	8.773246335	10.52333386	7.362859565	8.809844339	8.064639606	8.458944477	6.403531436	10.13337443	9.983776796	10.56194765	5.918909317	8.926709469	7.559421738	9.016057397	9.108167028	9.711508333	8.743463565	9.090292102	8.695001797	9.207095332	8.177116021
ENSBTAG00000005442	6.034940314	6.034940314	6.034940314	6.034940314	6.034940314	6.034940314	6.034940314	6.034940314	6.034940314	6.034940314	6.034940314	6.034940314	6.034940314	6.034940314	6.229432451	6.339439632	5.700796729	6.294267063	6.546411419	5.898442428	5.950427597	6.176850946	5.932270733	6.655337039	5.689556128	5.874703488
ENSBTAG00000005443	8.503896674	9.405621285	9.384847594	5.195912955	10.12376986	5.195912955	5.195912955	9.586110975	9.597391706	8.218824673	9.177731448	9.809110127	5.195912955	8.444905973	5.27370588	6.461572864	8.036209394	8.023552675	8.043398848	7.875595027	7.748502859	8.218404734	7.798544819	8.030020213	7.97638818	7.894883359
ENSBTAG00000005444	7.394404656	8.831990932	9.323306196	5.813148077	8.98340294	8.034544534	9.198521474	7.887129854	9.485647093	9.868605795	10.42731363	10.53305658	8.890787962	5.813148077	5.287809044	5.33196192	7.887623034	8.41307996	8.411335645	7.734407046	8.176625819	7.819012524	8.238517152	8.350348834	7.021671637	8.377944929
ENSBTAG00000005445	9.281463196	7.623041213	5.577411288	5.577411288	5.577411288	8.217838748	5.577411288	7.033935548	9.315592896	5.577411288	8.755693475	5.577411288	5.577411288	5.577411288	10.62378141	5.699852645	7.151712324	7.687133392	6.869698502	7.305505751	7.530163195	6.957771538	6.529809945	6.342377153	7.180291067	7.448255984
ENSBTAG00000005446	5.503576757	5.503576757	5.503576757	5.503576757	5.503576757	8.589864547	7.662768514	5.503576757	5.503576757	8.780446348	5.503576757	9.979109909	5.503576757	5.503576757	5.581628925	5.625776207	5.844739885	6.274284116	6.237004797	6.000001701	6.607942173	5.575497824	6.229658856	6.478534556	6.109310976	5.778945844
ENSBTAG00000005453	5.265344732	9.783647343	5.868967749	8.619512053	9.336815447	8.35629183	5.265344732	5.265344732	9.532344414	5.265344732	5.265344732	9.285227527	5.265344732	9.522312848	10.4103469	5.387604618	8.019041189	6.863973715	7.327462337	8.324834897	7.217847988	7.094212352	6.692346263	7.660470469	7.801175473	6.898730994
ENSBTAG00000005454	5.619678895	5.619678895	5.619678895	5.619678895	5.619678895	5.619678895	5.619678895	5.619678895	5.619678895	5.619678895	5.619678895	5.619678895	5.619678895	5.619678895	5.788258325	5.883608956	5.716325573	5.668733836	5.580488875	5.681431604	5.391156506	5.666406726	5.74772205	5.511022652	5.811895661	5.689424152
ENSBTAG00000005455	9.092123666	9.007117959	8.243163949	9.423765356	10.57192803	9.260552764	9.968689724	9.447230644	9.599809625	10.47970444	10.73864565	10.9474979	8.642138953	8.687008728	9.299342181	9.740471802	9.682331412	9.089623416	9.249812272	10.06039611	10.01252838	9.793616932	9.479564104	9.32024584	9.656752374	8.826780438
ENSBTAG00000005458	5.594537497	8.897695363	5.594537497	5.594537497	5.594537497	8.816811045	5.594537497	5.594537497	5.594537497	5.594537497	5.594537497	5.594537497	5.594537497	7.738766914	5.675234291	5.720877406	6.401277362	5.367527805	6.278406243	6.80579339	7.065557628	5.877492374	5.013099074	6.216995556	6.282303312	4.738402575
ENSBTAG00000005461	5.320235201	8.832955808	5.320235201	7.955910202	7.707948724	7.642527809	8.522215293	9.262712402	9.61358957	9.444738381	9.497284976	5.320235201	6.643629076	8.318384543	7.720978019	5.442054211	7.508510433	7.107763104	7.315264332	7.250593439	7.476599271	7.427922629	7.372616622	7.385399353	7.647081949	7.469705615
