ligand	receptor	d.ligand	d.receptor	ligand_ensembl	receptor_ensembl
A2M	LRP1	alpha-2-macroglobulin	LDL receptor related protein 1	ENSBTAG00000018137	ENSBTAG00000010830
AANAT	MTNR1A	aralkylamine N-acetyltransferase	melatonin receptor 1A	ENSBTAG00000050098	ENSBTAG00000046938
AANAT	MTNR1B	aralkylamine N-acetyltransferase	melatonin receptor 1B	ENSBTAG00000050098	ENSBTAG00000050009
ACE	AGTR2	angiotensin I converting enzyme	angiotensin II receptor type 2	ENSBTAG00000024950	ENSBTAG00000040386
ACE	BDKRB2	angiotensin I converting enzyme	bradykinin receptor B2	ENSBTAG00000024950	ENSBTAG00000021717
ACTR2	ADRB2	actin related protein 2	adrenoceptor beta 2	ENSBTAG00000009761	ENSBTAG00000002144
ACTR2	LDLR	actin related protein 2	low density lipoprotein receptor	ENSBTAG00000009761	ENSBTAG00000012314
ACTR2	LRP2	actin related protein 2	LDL receptor related protein 2	ENSBTAG00000009761	ENSBTAG00000004555
ADAM10	AXL	ADAM metallopeptidase domain 10	AXL receptor tyrosine kinase	ENSBTAG00000005481	ENSBTAG00000003166
ADAM10	EPHA3	ADAM metallopeptidase domain 10	EPH receptor A3	ENSBTAG00000005481	ENSBTAG00000006811
ADAM12	ITGA9	ADAM metallopeptidase domain 12	integrin subunit alpha 9	ENSBTAG00000012444	ENSBTAG00000016566
ADAM12	ITGB1	ADAM metallopeptidase domain 12	integrin subunit beta 1	ENSBTAG00000012444	ENSBTAG00000015910
ADAM12	SDC4	ADAM metallopeptidase domain 12	syndecan 4	ENSBTAG00000012444	ENSBTAG00000015127
ADAM15	ITGA5	ADAM metallopeptidase domain 15	integrin subunit alpha 5	ENSBTAG00000010663	ENSBTAG00000013745
ADAM15	ITGA9	ADAM metallopeptidase domain 15	integrin subunit alpha 9	ENSBTAG00000010663	ENSBTAG00000016566
ADAM15	ITGAV	ADAM metallopeptidase domain 15	integrin subunit alpha V	ENSBTAG00000010663	ENSBTAG00000019929
ADAM15	ITGB1	ADAM metallopeptidase domain 15	integrin subunit beta 1	ENSBTAG00000010663	ENSBTAG00000015910
ADAM15	ITGB3	ADAM metallopeptidase domain 15	integrin subunit beta 3	ENSBTAG00000010663	ENSBTAG00000009987
ADAM17	ERBB4	ADAM metallopeptidase domain 17	erb-b2 receptor tyrosine kinase 4	ENSBTAG00000001141	ENSBTAG00000012647
ADAM17	ITGA5	ADAM metallopeptidase domain 17	integrin subunit alpha 5	ENSBTAG00000001141	ENSBTAG00000013745
ADAM17	ITGB1	ADAM metallopeptidase domain 17	integrin subunit beta 1	ENSBTAG00000001141	ENSBTAG00000015910
ADAM17	NOTCH1	ADAM metallopeptidase domain 17	notch receptor 1	ENSBTAG00000001141	ENSBTAG00000022799
ADAM23	ITGA5	ADAM metallopeptidase domain 23	integrin subunit alpha 5	ENSBTAG00000019694	ENSBTAG00000013745
ADAM23	ITGB3	ADAM metallopeptidase domain 23	integrin subunit beta 3	ENSBTAG00000019694	ENSBTAG00000009987
ADAM2	CD9	ADAM metallopeptidase domain 2	CD9 molecule	ENSBTAG00000009408	ENSBTAG00000014764
ADAM2	ITGA6	ADAM metallopeptidase domain 2	integrin subunit alpha 6	ENSBTAG00000009408	ENSBTAG00000017266
ADAM2	ITGA9	ADAM metallopeptidase domain 2	integrin subunit alpha 9	ENSBTAG00000009408	ENSBTAG00000016566
ADAM2	ITGB1	ADAM metallopeptidase domain 2	integrin subunit beta 1	ENSBTAG00000009408	ENSBTAG00000015910
ADAM2	ITGB7	ADAM metallopeptidase domain 2	integrin subunit beta 7	ENSBTAG00000009408	ENSBTAG00000018993
ADAM9	ITGA3	ADAM metallopeptidase domain 9	integrin subunit alpha 3	ENSBTAG00000017455	ENSBTAG00000019498
ADAM9	ITGA6	ADAM metallopeptidase domain 9	integrin subunit alpha 6	ENSBTAG00000017455	ENSBTAG00000017266
ADAM9	ITGAV	ADAM metallopeptidase domain 9	integrin subunit alpha V	ENSBTAG00000017455	ENSBTAG00000019929
ADAM9	ITGB1	ADAM metallopeptidase domain 9	integrin subunit beta 1	ENSBTAG00000017455	ENSBTAG00000015910
ADAM9	ITGB5	ADAM metallopeptidase domain 9	integrin subunit beta 5	ENSBTAG00000017455	ENSBTAG00000013755
ADCYAP1	ADCYAP1R1	adenylate cyclase activating polypeptide 1	ADCYAP receptor type I	ENSBTAG00000020650	ENSBTAG00000020247
ADCYAP1	ADRB2	adenylate cyclase activating polypeptide 1	adrenoceptor beta 2	ENSBTAG00000020650	ENSBTAG00000002144
ADCYAP1	ADRB3	adenylate cyclase activating polypeptide 1	adrenoceptor beta 3	ENSBTAG00000020650	ENSBTAG00000017981
ADCYAP1	GPR20	adenylate cyclase activating polypeptide 1	G protein-coupled receptor 20	ENSBTAG00000020650	ENSBTAG00000015985
ADCYAP1	GPR84	adenylate cyclase activating polypeptide 1	G protein-coupled receptor 84	ENSBTAG00000020650	ENSBTAG00000015592
ADCYAP1	PTH1R	adenylate cyclase activating polypeptide 1	parathyroid hormone 1 receptor	ENSBTAG00000020650	ENSBTAG00000016948
ADCYAP1	RAMP2	adenylate cyclase activating polypeptide 1	receptor activity modifying protein 2	ENSBTAG00000020650	ENSBTAG00000019903
ADCYAP1	RAMP3	adenylate cyclase activating polypeptide 1	receptor activity modifying protein 3	ENSBTAG00000020650	ENSBTAG00000020704
ADCYAP1	SCTR	adenylate cyclase activating polypeptide 1	secretin receptor	ENSBTAG00000020650	ENSBTAG00000013619
ADCYAP1	TSHR	adenylate cyclase activating polypeptide 1	thyroid stimulating hormone receptor	ENSBTAG00000020650	ENSBTAG00000017489
ADCYAP1	VIPR1	adenylate cyclase activating polypeptide 1	vasoactive intestinal peptide receptor 1	ENSBTAG00000020650	ENSBTAG00000006567
ADCYAP1	VIPR2	adenylate cyclase activating polypeptide 1	vasoactive intestinal peptide receptor 2	ENSBTAG00000020650	ENSBTAG00000037649
ADIPOQ	ADIPOR1	"adiponectin, C1Q and collagen domain containing"	adiponectin receptor 1	ENSBTAG00000059085	ENSBTAG00000009727
ADIPOQ	ADIPOR2	"adiponectin, C1Q and collagen domain containing"	adiponectin receptor 2	ENSBTAG00000059085	ENSBTAG00000009050
ADM2	ADCYAP1R1	adrenomedullin 2	ADCYAP receptor type I	ENSBTAG00000062469	ENSBTAG00000020247
ADM2	ADRB2	adrenomedullin 2	adrenoceptor beta 2	ENSBTAG00000062469	ENSBTAG00000002144
ADM2	ADRB3	adrenomedullin 2	adrenoceptor beta 3	ENSBTAG00000062469	ENSBTAG00000017981
ADM2	CALCR	adrenomedullin 2	calcitonin receptor	ENSBTAG00000062469	ENSBTAG00000017458
ADM2	CALCRL	adrenomedullin 2	calcitonin receptor like receptor	ENSBTAG00000062469	ENSBTAG00000008483
ADM2	GPR20	adrenomedullin 2	G protein-coupled receptor 20	ENSBTAG00000062469	ENSBTAG00000015985
ADM2	GPR84	adrenomedullin 2	G protein-coupled receptor 84	ENSBTAG00000062469	ENSBTAG00000015592
ADM2	PTH1R	adrenomedullin 2	parathyroid hormone 1 receptor	ENSBTAG00000062469	ENSBTAG00000016948
ADM2	RAMP2	adrenomedullin 2	receptor activity modifying protein 2	ENSBTAG00000062469	ENSBTAG00000019903
ADM2	RAMP3	adrenomedullin 2	receptor activity modifying protein 3	ENSBTAG00000062469	ENSBTAG00000020704
ADM2	TSHR	adrenomedullin 2	thyroid stimulating hormone receptor	ENSBTAG00000062469	ENSBTAG00000017489
ADM2	VIPR1	adrenomedullin 2	vasoactive intestinal peptide receptor 1	ENSBTAG00000062469	ENSBTAG00000006567
ADM	ADCYAP1R1	adrenomedullin	ADCYAP receptor type I	ENSBTAG00000021048	ENSBTAG00000020247
ADM	ADRB2	adrenomedullin	adrenoceptor beta 2	ENSBTAG00000021048	ENSBTAG00000002144
ADM	ADRB3	adrenomedullin	adrenoceptor beta 3	ENSBTAG00000021048	ENSBTAG00000017981
ADM	CALCR	adrenomedullin	calcitonin receptor	ENSBTAG00000021048	ENSBTAG00000017458
ADM	CALCRL	adrenomedullin	calcitonin receptor like receptor	ENSBTAG00000021048	ENSBTAG00000008483
ADM	GPR182	adrenomedullin	G protein-coupled receptor 182	ENSBTAG00000021048	ENSBTAG00000039157
ADM	GPR20	adrenomedullin	G protein-coupled receptor 20	ENSBTAG00000021048	ENSBTAG00000015985
ADM	GPR84	adrenomedullin	G protein-coupled receptor 84	ENSBTAG00000021048	ENSBTAG00000015592
ADM	MRGPRX2	adrenomedullin	MAS related GPR family member X2	ENSBTAG00000021048	ENSBTAG00000002245
ADM	PTH1R	adrenomedullin	parathyroid hormone 1 receptor	ENSBTAG00000021048	ENSBTAG00000016948
ADM	RAMP2	adrenomedullin	receptor activity modifying protein 2	ENSBTAG00000021048	ENSBTAG00000019903
ADM	RAMP3	adrenomedullin	receptor activity modifying protein 3	ENSBTAG00000021048	ENSBTAG00000020704
ADM	TSHR	adrenomedullin	thyroid stimulating hormone receptor	ENSBTAG00000021048	ENSBTAG00000017489
ADM	VIPR1	adrenomedullin	vasoactive intestinal peptide receptor 1	ENSBTAG00000021048	ENSBTAG00000006567
AGRN	ATP1A3	agrin	ATPase Na+/K+ transporting subunit alpha 3	ENSBTAG00000013191	ENSBTAG00000018635
AGRN	ITGB1	agrin	integrin subunit beta 1	ENSBTAG00000013191	ENSBTAG00000015910
AGRN	LRP1	agrin	LDL receptor related protein 1	ENSBTAG00000013191	ENSBTAG00000010830
AGRN	LRP2	agrin	LDL receptor related protein 2	ENSBTAG00000013191	ENSBTAG00000004555
AGRN	LRP4	agrin	LDL receptor related protein 4	ENSBTAG00000013191	ENSBTAG00000008429
AGRN	MUSK	agrin	muscle associated receptor tyrosine kinase	ENSBTAG00000013191	ENSBTAG00000002744
AGRP	MC3R	agouti related neuropeptide	melanocortin 3 receptor	ENSBTAG00000014556	ENSBTAG00000004712
AGRP	MC4R	agouti related neuropeptide	melanocortin 4 receptor	ENSBTAG00000014556	ENSBTAG00000019676
AGRP	MC5R	agouti related neuropeptide	melanocortin 5 receptor	ENSBTAG00000014556	ENSBTAG00000009143
AGRP	SDC3	agouti related neuropeptide	syndecan 3	ENSBTAG00000014556	ENSBTAG00000026676
AHSG	INSR	alpha 2-HS glycoprotein	insulin receptor	ENSBTAG00000000522	ENSBTAG00000012687
ALB	LRP2	albumin	LDL receptor related protein 2	ENSBTAG00000017121	ENSBTAG00000004555
ALOX5AP	ALOX5	arachidonate 5-lipoxygenase activating protein	arachidonate 5-lipoxygenase	ENSBTAG00000013201	ENSBTAG00000020319
AMELX	LAMP1	amelogenin X-linked	lysosomal associated membrane protein 1	ENSBTAG00000012089	ENSBTAG00000010242
AMH	ACVR1	anti-Mullerian hormone	activin A receptor type 1	ENSBTAG00000073397	ENSBTAG00000011909
AMH	AMHR2	anti-Mullerian hormone	anti-Mullerian hormone receptor type 2	ENSBTAG00000073397	ENSBTAG00000018524
AMH	EGFR	anti-Mullerian hormone	epidermal growth factor receptor	ENSBTAG00000073397	ENSBTAG00000011628
ANGPT1	ITGA5	angiopoietin 1	integrin subunit alpha 5	ENSBTAG00000014051	ENSBTAG00000013745
ANGPT1	ITGB1	angiopoietin 1	integrin subunit beta 1	ENSBTAG00000014051	ENSBTAG00000015910
ANGPT1	TEK	angiopoietin 1	TEK receptor tyrosine kinase	ENSBTAG00000014051	ENSBTAG00000020148
ANGPT1	TIE1	angiopoietin 1	tyrosine kinase with immunoglobulin like and EGF like domains 1	ENSBTAG00000014051	ENSBTAG00000003777
ANGPT2	TEK	angiopoietin 2	TEK receptor tyrosine kinase	ENSBTAG00000011034	ENSBTAG00000020148
ANGPT2	TIE1	angiopoietin 2	tyrosine kinase with immunoglobulin like and EGF like domains 1	ENSBTAG00000011034	ENSBTAG00000003777
ANGPT4	TEK	angiopoietin 4	TEK receptor tyrosine kinase	ENSBTAG00000021811	ENSBTAG00000020148
ANGPT4	TIE1	angiopoietin 4	tyrosine kinase with immunoglobulin like and EGF like domains 1	ENSBTAG00000021811	ENSBTAG00000003777
ANGPTL1	TEK	angiopoietin like 1	TEK receptor tyrosine kinase	ENSBTAG00000010719	ENSBTAG00000020148
ANGPTL2	TIE1	angiopoietin like 2	tyrosine kinase with immunoglobulin like and EGF like domains 1	ENSBTAG00000011810	ENSBTAG00000003777
ANGPTL3	ITGA5	angiopoietin like 3	integrin subunit alpha 5	ENSBTAG00000021386	ENSBTAG00000013745
ANGPTL3	ITGAV	angiopoietin like 3	integrin subunit alpha V	ENSBTAG00000021386	ENSBTAG00000019929
ANGPTL3	ITGB3	angiopoietin like 3	integrin subunit beta 3	ENSBTAG00000021386	ENSBTAG00000009987
ANGPTL4	TIE1	angiopoietin like 4	tyrosine kinase with immunoglobulin like and EGF like domains 1	ENSBTAG00000002473	ENSBTAG00000003777
ANOS1	FGFR1	anosmin 1	fibroblast growth factor receptor 1	ENSBTAG00000070630	ENSBTAG00000015457
ANOS1	SDC2	anosmin 1	syndecan 2	ENSBTAG00000070630	ENSBTAG00000014357
ANXA1	ADRA2A	annexin A1	adrenoceptor alpha 2A	ENSBTAG00000015978	ENSBTAG00000039292
ANXA1	DYSF	annexin A1	dysferlin	ENSBTAG00000015978	ENSBTAG00000013290
ANXA1	EGFR	annexin A1	epidermal growth factor receptor	ENSBTAG00000015978	ENSBTAG00000011628
ANXA1	GRM7	annexin A1	glutamate metabotropic receptor 7	ENSBTAG00000015978	ENSBTAG00000013047
ANXA1	MTNR1A	annexin A1	melatonin receptor 1A	ENSBTAG00000015978	ENSBTAG00000046938
APLN	ADRA2A	apelin	adrenoceptor alpha 2A	ENSBTAG00000019993	ENSBTAG00000039292
APLN	APLNR	apelin	apelin receptor	ENSBTAG00000019993	ENSBTAG00000027516
APLN	GRM7	apelin	glutamate metabotropic receptor 7	ENSBTAG00000019993	ENSBTAG00000013047
APLN	MTNR1A	apelin	melatonin receptor 1A	ENSBTAG00000019993	ENSBTAG00000046938
APOA1	LDLR	apolipoprotein A1	low density lipoprotein receptor	ENSBTAG00000065859	ENSBTAG00000012314
APOA1	LRP1	apolipoprotein A1	LDL receptor related protein 1	ENSBTAG00000065859	ENSBTAG00000010830
APOA1	LRP2	apolipoprotein A1	LDL receptor related protein 2	ENSBTAG00000065859	ENSBTAG00000004555
APOA2	LDLR	apolipoprotein A2	low density lipoprotein receptor	ENSBTAG00000009212	ENSBTAG00000012314
APOA2	LRP1	apolipoprotein A2	LDL receptor related protein 1	ENSBTAG00000009212	ENSBTAG00000010830
APOA2	LRP2	apolipoprotein A2	LDL receptor related protein 2	ENSBTAG00000009212	ENSBTAG00000004555
APOA4	LDLR	apolipoprotein A4	low density lipoprotein receptor	ENSBTAG00000019770	ENSBTAG00000012314
APOA4	LRP1	apolipoprotein A4	LDL receptor related protein 1	ENSBTAG00000019770	ENSBTAG00000010830
APOA4	LRP2	apolipoprotein A4	LDL receptor related protein 2	ENSBTAG00000019770	ENSBTAG00000004555
APOB	ADRB2	apolipoprotein B	adrenoceptor beta 2	ENSBTAG00000008505	ENSBTAG00000002144
APOB	CALCR	apolipoprotein B	calcitonin receptor	ENSBTAG00000008505	ENSBTAG00000017458
APOB	ITGAM	apolipoprotein B	integrin subunit alpha M	ENSBTAG00000008505	ENSBTAG00000047238
APOB	ITGB2	apolipoprotein B	integrin subunit beta 2	ENSBTAG00000008505	ENSBTAG00000017060
APOB	LDLR	apolipoprotein B	low density lipoprotein receptor	ENSBTAG00000008505	ENSBTAG00000012314
APOB	LRP1	apolipoprotein B	LDL receptor related protein 1	ENSBTAG00000008505	ENSBTAG00000010830
APOB	LRP2	apolipoprotein B	LDL receptor related protein 2	ENSBTAG00000008505	ENSBTAG00000004555
APOB	LRP6	apolipoprotein B	LDL receptor related protein 6	ENSBTAG00000008505	ENSBTAG00000011761
APOB	LRP8	apolipoprotein B	LDL receptor related protein 8	ENSBTAG00000008505	ENSBTAG00000000736
APOB	LSR	apolipoprotein B	lipolysis stimulated lipoprotein receptor	ENSBTAG00000008505	ENSBTAG00000017033
APOB	MTTP	apolipoprotein B	microsomal triglyceride transfer protein	ENSBTAG00000008505	ENSBTAG00000011944
APOB	OLR1	apolipoprotein B	oxidized low density lipoprotein receptor 1	ENSBTAG00000008505	ENSBTAG00000004547
APOB	TLR4	apolipoprotein B	toll like receptor 4	ENSBTAG00000008505	ENSBTAG00000006240
APOB	TLR6	apolipoprotein B	toll like receptor 6	ENSBTAG00000008505	ENSBTAG00000014031
APOB	VLDLR	apolipoprotein B	very low density lipoprotein receptor	ENSBTAG00000008505	ENSBTAG00000018517
APOC2	LDLR	apolipoprotein C2	low density lipoprotein receptor	ENSBTAG00000020558	ENSBTAG00000012314
APOC2	LRP1	apolipoprotein C2	LDL receptor related protein 1	ENSBTAG00000020558	ENSBTAG00000010830
APOC2	LRP2	apolipoprotein C2	LDL receptor related protein 2	ENSBTAG00000020558	ENSBTAG00000004555
APOC3	LDLR	apolipoprotein C3	low density lipoprotein receptor	ENSBTAG00000012398	ENSBTAG00000012314
APOC3	LRP1	apolipoprotein C3	LDL receptor related protein 1	ENSBTAG00000012398	ENSBTAG00000010830
APOC3	LRP2	apolipoprotein C3	LDL receptor related protein 2	ENSBTAG00000012398	ENSBTAG00000004555
APOC3	SDC2	apolipoprotein C3	syndecan 2	ENSBTAG00000012398	ENSBTAG00000014357
APOC3	TLR2	apolipoprotein C3	toll like receptor 2	ENSBTAG00000012398	ENSBTAG00000008008
APOC4	VLDLR	apolipoprotein C4	very low density lipoprotein receptor	ENSBTAG00000020556	ENSBTAG00000018517
APOD	LEPR	apolipoprotein D	leptin receptor	ENSBTAG00000023600	ENSBTAG00000005910
APOE	CHRNA4	apolipoprotein E	cholinergic receptor nicotinic alpha 4 subunit	ENSBTAG00000010123	ENSBTAG00000017198
APOE	LDLR	apolipoprotein E	low density lipoprotein receptor	ENSBTAG00000010123	ENSBTAG00000012314
APOE	LRP1	apolipoprotein E	LDL receptor related protein 1	ENSBTAG00000010123	ENSBTAG00000010830
APOE	LRP2	apolipoprotein E	LDL receptor related protein 2	ENSBTAG00000010123	ENSBTAG00000004555
APOE	LRP5	apolipoprotein E	LDL receptor related protein 5	ENSBTAG00000010123	ENSBTAG00000005903
APOE	LRP8	apolipoprotein E	LDL receptor related protein 8	ENSBTAG00000010123	ENSBTAG00000000736
APOE	SCARB1	apolipoprotein E	scavenger receptor class B member 1	ENSBTAG00000010123	ENSBTAG00000014269
APOE	SORL1	apolipoprotein E	sortilin related receptor 1	ENSBTAG00000010123	ENSBTAG00000014611
APOE	VLDLR	apolipoprotein E	very low density lipoprotein receptor	ENSBTAG00000010123	ENSBTAG00000018517
APP	ADRA2A	amyloid beta precursor protein	adrenoceptor alpha 2A	ENSBTAG00000017753	ENSBTAG00000039292
APP	CD74	amyloid beta precursor protein	CD74 molecule	ENSBTAG00000017753	ENSBTAG00000015228
APP	GPC1	amyloid beta precursor protein	glypican 1	ENSBTAG00000017753	ENSBTAG00000015996
APP	GRM7	amyloid beta precursor protein	glutamate metabotropic receptor 7	ENSBTAG00000017753	ENSBTAG00000013047
APP	LRP1	amyloid beta precursor protein	LDL receptor related protein 1	ENSBTAG00000017753	ENSBTAG00000010830
APP	MTNR1A	amyloid beta precursor protein	melatonin receptor 1A	ENSBTAG00000017753	ENSBTAG00000046938
APP	NCSTN	amyloid beta precursor protein	nicastrin	ENSBTAG00000017753	ENSBTAG00000004334
APP	NGFR	amyloid beta precursor protein	nerve growth factor receptor	ENSBTAG00000017753	ENSBTAG00000020979
APP	SLC45A3	amyloid beta precursor protein	solute carrier family 45 member 3	ENSBTAG00000017753	ENSBTAG00000007693
APP	TNFRSF21	amyloid beta precursor protein	TNF receptor superfamily member 21	ENSBTAG00000017753	ENSBTAG00000020054
AREG	EGFR	amphiregulin	epidermal growth factor receptor	ENSBTAG00000018134	ENSBTAG00000011628
AREG	ERBB3	amphiregulin	erb-b2 receptor tyrosine kinase 3	ENSBTAG00000018134	ENSBTAG00000010444
ARF1	CHRM3	ADP ribosylation factor 1	cholinergic receptor muscarinic 3	ENSBTAG00000007725	ENSBTAG00000008059
ARF1	INSR	ADP ribosylation factor 1	insulin receptor	ENSBTAG00000007725	ENSBTAG00000012687
ARF1	PLD2	ADP ribosylation factor 1	phospholipase D2	ENSBTAG00000007725	ENSBTAG00000013392
ARPC5	ADRB2	actin related protein 2/3 complex subunit 5	adrenoceptor beta 2	ENSBTAG00000045582	ENSBTAG00000002144
ARPC5	LDLR	actin related protein 2/3 complex subunit 5	low density lipoprotein receptor	ENSBTAG00000045582	ENSBTAG00000012314
ARPC5	LRP2	actin related protein 2/3 complex subunit 5	LDL receptor related protein 2	ENSBTAG00000045582	ENSBTAG00000004555
ARTN	GFRA1	artemin	GDNF family receptor alpha 1	ENSBTAG00000040060	ENSBTAG00000019297
ARTN	GFRA2	artemin	GDNF family receptor alpha 2	ENSBTAG00000040060	ENSBTAG00000020665
ARTN	GFRA3	artemin	GDNF family receptor alpha 3	ENSBTAG00000040060	ENSBTAG00000005288
ARTN	RET	artemin	ret proto-oncogene	ENSBTAG00000040060	ENSBTAG00000000570
ASIP	ATRN	agouti signaling protein	attractin	ENSBTAG00000034077	ENSBTAG00000003848
ASIP	F11R	agouti signaling protein	F11 receptor	ENSBTAG00000034077	ENSBTAG00000017846
ASIP	MC1R	agouti signaling protein	melanocortin 1 receptor	ENSBTAG00000034077	ENSBTAG00000023731
ASIP	MC2R	agouti signaling protein	melanocortin 2 receptor	ENSBTAG00000034077	ENSBTAG00000011038
ASIP	MC3R	agouti signaling protein	melanocortin 3 receptor	ENSBTAG00000034077	ENSBTAG00000004712
ASIP	MC4R	agouti signaling protein	melanocortin 4 receptor	ENSBTAG00000034077	ENSBTAG00000019676
ASIP	MC5R	agouti signaling protein	melanocortin 5 receptor	ENSBTAG00000034077	ENSBTAG00000009143
ASIP	MGRN1	agouti signaling protein	mahogunin ring finger 1	ENSBTAG00000034077	ENSBTAG00000018999
AVP	ADCYAP1R1	arginine vasopressin	ADCYAP receptor type I	ENSBTAG00000008027	ENSBTAG00000020247
AVP	ADRB2	arginine vasopressin	adrenoceptor beta 2	ENSBTAG00000008027	ENSBTAG00000002144
AVP	ADRB3	arginine vasopressin	adrenoceptor beta 3	ENSBTAG00000008027	ENSBTAG00000017981
AVP	AVPR1A	arginine vasopressin	arginine vasopressin receptor 1A	ENSBTAG00000008027	ENSBTAG00000007175
AVP	AVPR1B	arginine vasopressin	arginine vasopressin receptor 1B	ENSBTAG00000008027	ENSBTAG00000017301
AVP	AVPR2	arginine vasopressin	arginine vasopressin receptor 2	ENSBTAG00000008027	ENSBTAG00000047138
AVP	GPR20	arginine vasopressin	G protein-coupled receptor 20	ENSBTAG00000008027	ENSBTAG00000015985
AVP	GPR84	arginine vasopressin	G protein-coupled receptor 84	ENSBTAG00000008027	ENSBTAG00000015592
AVP	LDLR	arginine vasopressin	low density lipoprotein receptor	ENSBTAG00000008027	ENSBTAG00000012314
AVP	LRP2	arginine vasopressin	LDL receptor related protein 2	ENSBTAG00000008027	ENSBTAG00000004555
AVP	OXTR	arginine vasopressin	oxytocin receptor	ENSBTAG00000008027	ENSBTAG00000071678
AVP	PTH1R	arginine vasopressin	parathyroid hormone 1 receptor	ENSBTAG00000008027	ENSBTAG00000016948
AVP	RAMP2	arginine vasopressin	receptor activity modifying protein 2	ENSBTAG00000008027	ENSBTAG00000019903
AVP	RAMP3	arginine vasopressin	receptor activity modifying protein 3	ENSBTAG00000008027	ENSBTAG00000020704
AVP	TSHR	arginine vasopressin	thyroid stimulating hormone receptor	ENSBTAG00000008027	ENSBTAG00000017489
AVP	VIPR1	arginine vasopressin	vasoactive intestinal peptide receptor 1	ENSBTAG00000008027	ENSBTAG00000006567
AZGP1	ITGAV	"alpha-2-glycoprotein 1, zinc-binding"	integrin subunit alpha V	ENSBTAG00000026236	ENSBTAG00000019929
B2M	CD1A	beta-2-microglobulin	CD1a molecule	ENSBTAG00000048782	ENSBTAG00000054063
B2M	CD1B	beta-2-microglobulin	CD1b molecule	ENSBTAG00000048782	ENSBTAG00000038426
B2M	CD247	beta-2-microglobulin	CD247 molecule	ENSBTAG00000048782	ENSBTAG00000012700
B2M	CD3D	beta-2-microglobulin	CD3 delta subunit of T-cell receptor complex	ENSBTAG00000048782	ENSBTAG00000006452
B2M	CD3G	beta-2-microglobulin	CD3 gamma subunit of T-cell receptor complex	ENSBTAG00000048782	ENSBTAG00000071227
B2M	HFE	beta-2-microglobulin	homeostatic iron regulator	ENSBTAG00000048782	ENSBTAG00000013065
B2M	KLRC1	beta-2-microglobulin	killer cell lectin like receptor C1	ENSBTAG00000048782	ENSBTAG00000064910
B2M	KLRD1	beta-2-microglobulin	killer cell lectin like receptor D1	ENSBTAG00000048782	ENSBTAG00000046389
B2M	TFRC	beta-2-microglobulin	transferrin receptor	ENSBTAG00000048782	ENSBTAG00000032719
BCAN	EGFR	brevican	epidermal growth factor receptor	ENSBTAG00000015789	ENSBTAG00000011628
BCAN	NRCAM	brevican	neuronal cell adhesion molecule	ENSBTAG00000015789	ENSBTAG00000006732
BDNF	DDR1	brain derived neurotrophic factor	discoidin domain receptor tyrosine kinase 1	ENSBTAG00000008134	ENSBTAG00000010682
BDNF	DRD4	brain derived neurotrophic factor	dopamine receptor D4	ENSBTAG00000008134	ENSBTAG00000051042
BDNF	NGFR	brain derived neurotrophic factor	nerve growth factor receptor	ENSBTAG00000008134	ENSBTAG00000020979
BDNF	NTRK2	brain derived neurotrophic factor	neurotrophic receptor tyrosine kinase 2	ENSBTAG00000008134	ENSBTAG00000010647
BDNF	SORT1	brain derived neurotrophic factor	sortilin 1	ENSBTAG00000008134	ENSBTAG00000008849
BGN	LY96	biglycan	lymphocyte antigen 96	ENSBTAG00000005250	ENSBTAG00000072335
BGN	TLR2	biglycan	toll like receptor 2	ENSBTAG00000005250	ENSBTAG00000008008
BGN	TLR4	biglycan	toll like receptor 4	ENSBTAG00000005250	ENSBTAG00000006240
BMP10	ACVR2A	bone morphogenetic protein 10	activin A receptor type 2A	ENSBTAG00000000992	ENSBTAG00000018114
BMP10	ACVRL1	bone morphogenetic protein 10	activin A receptor like type 1	ENSBTAG00000000992	ENSBTAG00000013843
BMP10	BMPR1A	bone morphogenetic protein 10	bone morphogenetic protein receptor type 1A	ENSBTAG00000000992	ENSBTAG00000000231
BMP10	BMPR1B	bone morphogenetic protein 10	bone morphogenetic protein receptor type 1B	ENSBTAG00000000992	ENSBTAG00000002081
BMP10	BMPR2	bone morphogenetic protein 10	bone morphogenetic protein receptor type 2	ENSBTAG00000000992	ENSBTAG00000006420
BMP10	ENG	bone morphogenetic protein 10	endoglin	ENSBTAG00000000992	ENSBTAG00000008997
BMP15	BMPR1A	bone morphogenetic protein 15	bone morphogenetic protein receptor type 1A	ENSBTAG00000045782	ENSBTAG00000000231
BMP15	BMPR1B	bone morphogenetic protein 15	bone morphogenetic protein receptor type 1B	ENSBTAG00000045782	ENSBTAG00000002081
BMP15	BMPR2	bone morphogenetic protein 15	bone morphogenetic protein receptor type 2	ENSBTAG00000045782	ENSBTAG00000006420
BMP2	ACVR1	bone morphogenetic protein 2	activin A receptor type 1	ENSBTAG00000005111	ENSBTAG00000011909
BMP2	ACVR2B	bone morphogenetic protein 2	activin A receptor type 2B	ENSBTAG00000005111	ENSBTAG00000018105
BMP2	BMPR1A	bone morphogenetic protein 2	bone morphogenetic protein receptor type 1A	ENSBTAG00000005111	ENSBTAG00000000231
BMP2	BMPR1B	bone morphogenetic protein 2	bone morphogenetic protein receptor type 1B	ENSBTAG00000005111	ENSBTAG00000002081
BMP2	BMPR2	bone morphogenetic protein 2	bone morphogenetic protein receptor type 2	ENSBTAG00000005111	ENSBTAG00000006420
