ligand	receptor	d.ligand	d.receptor	ligand_ensembl	receptor_ensembl
LTA	LTBR	lymphotoxin alpha	lymphotoxin beta receptor	ENSBTAG00000000016	ENSBTAG00000015312
LTA	TNFRSF1A	lymphotoxin alpha	TNF receptor superfamily member 1A	ENSBTAG00000000016	ENSBTAG00000004211
LTA	TNFRSF1B	lymphotoxin alpha	TNF receptor superfamily member 1B	ENSBTAG00000000016	ENSBTAG00000024928
LTBP1	ITGB5	latent transforming growth factor beta binding protein 1	integrin subunit beta 5	ENSBTAG00000019839	ENSBTAG00000013755
LTBP3	ITGB5	latent transforming growth factor beta binding protein 3	integrin subunit beta 5	ENSBTAG00000006747	ENSBTAG00000013755
LTB	CD40	lymphotoxin beta	CD40 molecule	ENSBTAG00000018343	ENSBTAG00000020736
LTB	LTBR	lymphotoxin beta	lymphotoxin beta receptor	ENSBTAG00000018343	ENSBTAG00000015312
LTB	TNFRSF1A	lymphotoxin beta	TNF receptor superfamily member 1A	ENSBTAG00000018343	ENSBTAG00000004211
LTF	GP9	lactotransferrin	glycoprotein IX platelet	ENSBTAG00000001292	ENSBTAG00000014666
LTF	GPR162	lactotransferrin	G protein-coupled receptor 162	ENSBTAG00000001292	ENSBTAG00000034385
LTF	LRP1	lactotransferrin	LDL receptor related protein 1	ENSBTAG00000001292	ENSBTAG00000010830
LTF	LRP11	lactotransferrin	LDL receptor related protein 11	ENSBTAG00000001292	ENSBTAG00000032007
LTF	TFRC	lactotransferrin	transferrin receptor	ENSBTAG00000001292	ENSBTAG00000032719
LUM	ITGB1	lumican	integrin subunit beta 1	ENSBTAG00000001745	ENSBTAG00000015910
LY86	CD180	lymphocyte antigen 86	CD180 molecule	ENSBTAG00000031444	ENSBTAG00000006360
LYPD3	AGR2	LY6/PLAUR domain containing 3	"anterior gradient 2, protein disulphide isomerase family member"	ENSBTAG00000018077	ENSBTAG00000024406
LYZ	ITGAL	lysozyme	integrin subunit alpha L	ENSBTAG00000026779	ENSBTAG00000007103
MADCAM1	CD44	mucosal vascular addressin cell adhesion molecule 1	CD44 molecule (Indian blood group)	ENSBTAG00000039355	ENSBTAG00000011578
MADCAM1	ITGA4	mucosal vascular addressin cell adhesion molecule 1	integrin subunit alpha 4	ENSBTAG00000039355	ENSBTAG00000009256
MADCAM1	ITGB7	mucosal vascular addressin cell adhesion molecule 1	integrin subunit beta 7	ENSBTAG00000039355	ENSBTAG00000018993
MAPK1	FGFR2	mitogen-activated protein kinase 1	fibroblast growth factor receptor 2	ENSBTAG00000010312	ENSBTAG00000014064
MATN1	ITGA1	matrilin 1	integrin subunit alpha 1	ENSBTAG00000003479	ENSBTAG00000016525
MATN1	ITGB1	matrilin 1	integrin subunit beta 1	ENSBTAG00000003479	ENSBTAG00000015910
MATN1	PTPRD	matrilin 1	protein tyrosine phosphatase receptor type D	ENSBTAG00000003479	ENSBTAG00000010178
MBL2	CALCR	mannose binding lectin 2	calcitonin receptor	ENSBTAG00000007049	ENSBTAG00000017458
MBL2	CD93	mannose binding lectin 2	CD93 molecule	ENSBTAG00000007049	ENSBTAG00000004207
MDK	ALK	midkine	ALK receptor tyrosine kinase	ENSBTAG00000007740	ENSBTAG00000007379
MDK	GPC2	midkine	glypican 2	ENSBTAG00000007740	ENSBTAG00000008869
MDK	ITGA4	midkine	integrin subunit alpha 4	ENSBTAG00000007740	ENSBTAG00000009256
MDK	ITGA6	midkine	integrin subunit alpha 6	ENSBTAG00000007740	ENSBTAG00000017266
MDK	ITGB1	midkine	integrin subunit beta 1	ENSBTAG00000007740	ENSBTAG00000015910
MDK	LRP1	midkine	LDL receptor related protein 1	ENSBTAG00000007740	ENSBTAG00000010830
MDK	LRP2	midkine	LDL receptor related protein 2	ENSBTAG00000007740	ENSBTAG00000004555
MDK	PTPRZ1	midkine	protein tyrosine phosphatase receptor type Z1	ENSBTAG00000007740	ENSBTAG00000012119
MDK	SDC1	midkine	syndecan 1	ENSBTAG00000007740	ENSBTAG00000011154
MDK	SDC3	midkine	syndecan 3	ENSBTAG00000007740	ENSBTAG00000026676
MDK	SDC4	midkine	syndecan 4	ENSBTAG00000007740	ENSBTAG00000015127
MDK	TSPAN1	midkine	tetraspanin 1	ENSBTAG00000007740	ENSBTAG00000013320
MEPE	PHEX	matrix extracellular phosphoglycoprotein	phosphate regulating endopeptidase X-linked	ENSBTAG00000007568	ENSBTAG00000000419
MFAP2	NOTCH1	microfibril associated protein 2	notch receptor 1	ENSBTAG00000003832	ENSBTAG00000022799
MFAP5	NOTCH1	microfibril associated protein 5	notch receptor 1	ENSBTAG00000000310	ENSBTAG00000022799
MFGE8	ITGAV	milk fat globule EGF and factor V/VIII domain containing	integrin subunit alpha V	ENSBTAG00000003300	ENSBTAG00000019929
MFGE8	ITGB3	milk fat globule EGF and factor V/VIII domain containing	integrin subunit beta 3	ENSBTAG00000003300	ENSBTAG00000009987
MFGE8	PDGFRB	milk fat globule EGF and factor V/VIII domain containing	platelet derived growth factor receptor beta	ENSBTAG00000003300	ENSBTAG00000002804
MFNG	NOTCH1	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	notch receptor 1	ENSBTAG00000015043	ENSBTAG00000022799
MFNG	NOTCH2	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	notch receptor 2	ENSBTAG00000015043	ENSBTAG00000007909
MIA	CDH7	MIA SH3 domain containing	cadherin 7	ENSBTAG00000009078	ENSBTAG00000014488
MLN	MLNR	motilin	motilin receptor	ENSBTAG00000015550	ENSBTAG00000010475
MMP12	PLAUR	matrix metallopeptidase 12	"plasminogen activator, urokinase receptor"	ENSBTAG00000053542	ENSBTAG00000013125
MMP13	LRP1	matrix metallopeptidase 13	LDL receptor related protein 1	ENSBTAG00000015059	ENSBTAG00000010830
MMP1	CD44	matrix metallopeptidase 1	CD44 molecule (Indian blood group)	ENSBTAG00000015818	ENSBTAG00000011578
MMP1	ITGA2	matrix metallopeptidase 1	integrin subunit alpha 2	ENSBTAG00000015818	ENSBTAG00000019289
MMP2	SDC2	matrix metallopeptidase 2	syndecan 2	ENSBTAG00000019267	ENSBTAG00000014357
MMP7	CD151	matrix metallopeptidase 7	CD151 molecule (Raph blood group)	ENSBTAG00000004594	ENSBTAG00000019569
MMP7	CD44	matrix metallopeptidase 7	CD44 molecule (Indian blood group)	ENSBTAG00000004594	ENSBTAG00000011578
MMP7	CDH6	matrix metallopeptidase 7	cadherin 6	ENSBTAG00000004594	ENSBTAG00000012992
MMP7	ERBB4	matrix metallopeptidase 7	erb-b2 receptor tyrosine kinase 4	ENSBTAG00000004594	ENSBTAG00000012647
MMP9	CD44	matrix metallopeptidase 9	CD44 molecule (Indian blood group)	ENSBTAG00000020676	ENSBTAG00000011578
MMP9	EPHB2	matrix metallopeptidase 9	EPH receptor B2	ENSBTAG00000020676	ENSBTAG00000045902
MMP9	ITGAM	matrix metallopeptidase 9	integrin subunit alpha M	ENSBTAG00000020676	ENSBTAG00000047238
MMP9	ITGB2	matrix metallopeptidase 9	integrin subunit beta 2	ENSBTAG00000020676	ENSBTAG00000017060
MMP9	LRP1	matrix metallopeptidase 9	LDL receptor related protein 1	ENSBTAG00000020676	ENSBTAG00000010830
MST1	MST1R	macrophage stimulating 1	macrophage stimulating 1 receptor	ENSBTAG00000011585	ENSBTAG00000015046
MSTN	ACVR2B	myostatin	activin A receptor type 2B	ENSBTAG00000011808	ENSBTAG00000018105
MTMR4	SMAD3	myotubularin related protein 4	SMAD family member 3	ENSBTAG00000015352	ENSBTAG00000012599
MYOC	FZD1	myocilin	frizzled class receptor 1	ENSBTAG00000020342	ENSBTAG00000002107
MYOC	FZD10	myocilin	frizzled class receptor 10	ENSBTAG00000020342	ENSBTAG00000007047
MYOC	FZD3	myocilin	frizzled class receptor 3	ENSBTAG00000020342	ENSBTAG00000035084
MYOC	FZD4	myocilin	frizzled class receptor 4	ENSBTAG00000020342	ENSBTAG00000074291
MYOC	FZD7	myocilin	frizzled class receptor 7	ENSBTAG00000020342	ENSBTAG00000002283
NAMPT	INSR	nicotinamide phosphoribosyltransferase	insulin receptor	ENSBTAG00000015509	ENSBTAG00000012687
NCAM1	CACNA1C	neural cell adhesion molecule 1	calcium voltage-gated channel subunit alpha1 C	ENSBTAG00000005710	ENSBTAG00000010660
NCAM1	FGFR1	neural cell adhesion molecule 1	fibroblast growth factor receptor 1	ENSBTAG00000005710	ENSBTAG00000015457
NCAM1	FGFR2	neural cell adhesion molecule 1	fibroblast growth factor receptor 2	ENSBTAG00000005710	ENSBTAG00000014064
NCAM1	GFRA1	neural cell adhesion molecule 1	GDNF family receptor alpha 1	ENSBTAG00000005710	ENSBTAG00000019297
NCAM1	PTPRA	neural cell adhesion molecule 1	protein tyrosine phosphatase receptor type A	ENSBTAG00000005710	ENSBTAG00000011425
