	Zo_NP_1	Zo_NP_3	Zo_NP_4	Zo_NP_5	Zo_NP_6	Zo_NP_8	Zo_NP_9	Zo_NP_10	Zo_NP_11	Zo_NP_12	Zo_NP_13	Zo_NP_14	Zo_NP_15	SW_NP_1	SW_NP_3	SW_NP_5	Zo_PR_1	Zo_PR_2	Zo_PR_3	Zo_PR_4	SW_PR_1	SW_PR_2	SW_PR_3	SW_PR_4	SW_PR_5	SW_PR_6	SW_PR_7
ENSBTAG00000000044	4.487584452	4.849046771	5.59961928	4.42157568	5.100406988	4.359769581	4.551960266	4.583239914	4.341152448	5.46823215	4.98650806	4.86407356	5.056202909	5.577577542	4.841009128	4.871578476	5.674727307	4.968043407	5.812748221	4.750399674	4.920250884	4.983706047	4.734408638	4.42810039	5.637359072	5.20921817	5.098573924
ENSBTAG00000000046	5.266197081	4.604665015	5.301321138	6.042384172	5.25103863	5.253007262	4.985126696	5.555518009	5.061241276	5.249325711	5.594014244	5.689264295	5.555863713	5.647127503	4.823132001	5.23320181	5.151377331	5.086603303	5.923769476	5.192174689	5.518284917	5.052979515	5.635396649	4.686130552	5.259316466	5.445036667	5.473965434
ENSBTAG00000000049	5.051516476	5.208503271	5.856344592	5.09633913	5.53015138	5.904028781	5.703728699	5.758227159	5.877218877	5.205359184	6.042427314	4.845031538	6.291892774	5.461709447	5.69154177	6.239291027	5.84492348	6.516483084	6.475703192	5.602057848	5.466866497	5.549338136	5.712815068	5.875997151	6.0161655	6.067322162	5.842634294
ENSBTAG00000000050	5.688029768	5.997468484	5.435223429	6.009330914	5.345348026	5.285857735	5.754864332	5.212662318	6.084667056	6.111023511	6.177612919	5.423075104	5.559518433	5.596237975	5.608872439	5.452007341	5.867212322	5.152508473	5.956684152	5.346799168	5.38749347	5.171430471	6.123831515	5.775811926	5.627433256	5.488419892	5.545132279
ENSBTAG00000000052	4.665114471	4.741047768	4.635895165	4.593501246	4.604117601	4.526447521	4.734956093	4.768891529	4.506249707	4.683260797	4.702473331	5.073569262	4.769100595	5.296288777	4.844266963	4.744618854	4.829331384	5.159375574	5.491470668	5.251824156	4.854626958	5.072270149	4.664346563	4.706405972	5.183939458	4.697052786	4.772152977
ENSBTAG00000000053	5.750922862	6.905550726	6.163095017	5.681394756	5.481988627	6.412207773	6.210720283	6.4913601	4.966250999	5.569714397	6.193379809	5.548973244	5.864371169	5.977198485	6.286727999	6.44908345	5.870078117	6.402644261	6.418905846	5.888613176	6.237377537	5.236616636	5.680745226	6.302960549	5.518331172	5.64096452	6.192835529
ENSBTAG00000000054	4.490286038	5.972841406	6.205260366	5.339862425	5.707201431	5.395386499	5.719153577	6.182832023	5.093715953	4.688128244	5.588183989	4.764928857	5.654450037	5.442747964	5.400992252	4.993406361	5.618289834	5.519126025	5.656580834	5.919683154	5.508107666	6.369696455	6.138688593	5.23657606	4.921851895	5.373205354	5.970987428
ENSBTAG00000000056	6.278478221	5.967627284	5.606337899	6.12643994	6.058710579	6.03604263	5.807246528	5.859313896	6.395863054	5.825710026	6.1495289	5.519610744	6.46665354	5.568851144	6.1912655	6.28320244	6.150848653	5.523072951	6.036171999	6.209310251	6.070145004	5.283561325	6.198670671	6.064460404	6.541674472	6.311621507	5.971329129
ENSBTAG00000000057	6.381378671	7.116603573	5.83522587	5.791224612	6.104589256	5.721628586	7.107588359	5.973264707	5.700664984	6.903575116	6.427360025	7.072719995	6.762578261	7.489635164	6.194323502	5.229881154	6.558319396	6.027297667	6.252897552	6.459789941	6.288560021	7.428040344	5.834817879	5.68387621	6.112485829	5.436990217	6.752370416
ENSBTAG00000000060	4.209794966	6.439349857	4.183563291	5.191992386	6.115439367	5.819995144	6.381362671	6.799923383	6.201152968	4.798756554	6.731256753	5.820752261	5.809303621	5.613740805	6.19856269	6.564367956	6.687517097	6.226671298	6.612361924	5.840587023	5.723999263	5.420765043	5.887950368	6.136059962	5.313571297	5.979691384	6.058277412
ENSBTAG00000000061	4.818240092	6.311838358	4.33847489	5.271925591	4.748998497	5.13385562	5.399714407	4.927360653	4.220270552	4.963261264	5.414023092	5.039532377	4.459925035	5.27027614	5.054838419	5.398750381	5.881323824	4.861378286	5.971034592	5.926343582	5.046722229	6.079709468	5.236860915	5.365960013	4.972788788	5.432030246	4.727489763
ENSBTAG00000000062	4.980840224	5.290127703	4.494579291	4.897978102	4.465213794	5.03896805	4.586121024	5.550022813	4.374774537	4.538349646	4.556103858	4.605203494	4.617673796	4.828877754	5.127919159	4.639408997	5.386147686	5.160529907	4.592268421	4.763411773	5.181478516	5.351874883	4.881371154	4.742565368	4.715095744	4.771124345	4.261122011
ENSBTAG00000000064	6.393006012	7.405875532	7.040832384	6.69269161	6.891275556	6.653622998	6.930936953	7.271599011	6.867600226	6.635355552	7.329288333	6.59659682	6.908040158	6.539039824	6.919974607	6.643766087	6.818720408	6.620796214	6.646793746	6.12824584	6.884244531	7.073450538	6.764615444	6.703603227	6.410366381	6.708433987	6.442363904
